Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_adhd * e_any_phb,Odds Ratio,1.9229,1.8472,2.0018,1
Table any_adhd * e_any_ptsd,Odds Ratio,2.0189,1.9341,2.1075,1
Table any_adhd * e_any_som,Odds Ratio,1.5156,1.4195,1.6183,1
Table any_adhd * e_any_psy,Odds Ratio,2.4656,2.3606,2.5752,1
Table any_adhd * e_any_oth,Odds Ratio,1.8702,1.8271,1.9143,1
Table any_adhd * e_any_slp,Odds Ratio,1.9365,1.8910,1.9832,1
Table any_adhd * e_any_sex,Odds Ratio,1.5524,1.4806,1.6276,1
Table any_adhd * e_any_sui,Odds Ratio,2.7902,2.6329,2.9569,1
Table any_adhd * e_any_per,Odds Ratio,2.8027,2.6670,2.9453,1
Table any_chad * e_any_MH,Odds Ratio,2.4045,2.3388,2.4719,1
Table any_chad * e_any_adhd,Odds Ratio,2.9143,2.8234,3.0081,1
Table any_chad * e_any_sub,Odds Ratio,1.9271,1.8764,1.9792,1
Table any_chad * e_any_dep,Odds Ratio,2.1011,2.0624,2.1406,1
Table any_chad * e_any_str,Odds Ratio,1.8097,1.7767,1.8433,1
Table any_chad * e_any_anx,Odds Ratio,1.7619,1.7277,1.7966,1
Table any_chad * e_any_phb,Odds Ratio,1.7625,1.7051,1.8218,1
Table any_chad * e_any_ptsd,Odds Ratio,2.0416,1.9722,2.1135,1
Table any_chad * e_any_som,Odds Ratio,1.6470,1.5657,1.7324,1
Table any_chad * e_any_psy,Odds Ratio,2.0968,2.0209,2.1755,1
Table any_chad * e_any_oth,Odds Ratio,1.6943,1.6635,1.7256,1
Table any_chad * e_any_slp,Odds Ratio,1.6574,1.6262,1.6892,1
Table any_chad * e_any_sex,Odds Ratio,1.4483,1.3931,1.5057,1
Table any_chad * e_any_sui,Odds Ratio,2.4151,2.2974,2.5387,1
Table any_chad * e_any_per,Odds Ratio,2.5358,2.4312,2.6449,1
Table any_dep * e_any_MH,Odds Ratio,2.8449,2.7432,2.9504,1
Table any_dep * e_any_adhd,Odds Ratio,1.9158,1.8346,2.0006,1
Table any_dep * e_any_sub,Odds Ratio,1.8480,1.7889,1.9089,1
Table any_dep * e_any_dep,Odds Ratio,2.3911,2.3366,2.4468,1
Table any_dep * e_any_str,Odds Ratio,1.8923,1.8502,1.9354,1
Table any_dep * e_any_anx,Odds Ratio,1.7026,1.6626,1.7436,1
Table any_dep * e_any_phb,Odds Ratio,1.5897,1.5250,1.6571,1
Table any_dep * e_any_ptsd,Odds Ratio,1.9563,1.8759,2.0401,1
Table any_dep * e_any_som,Odds Ratio,1.5111,1.4182,1.6101,1
Table any_dep * e_any_psy,Odds Ratio,2.1079,2.0172,2.2028,1
Table any_dep * e_any_oth,Odds Ratio,1.6696,1.6327,1.7073,1
Table any_dep * e_any_slp,Odds Ratio,1.7537,1.7140,1.7945,1
Table any_dep * e_any_sex,Odds Ratio,1.6548,1.5825,1.7305,1
Table any_dep * e_any_sui,Odds Ratio,2.3325,2.1956,2.4779,1
Table any_dep * e_any_per,Odds Ratio,2.1196,2.0100,2.2351,1
Table any_str * e_any_MH,Odds Ratio,4.6373,4.3282,4.9685,1
Table any_str * e_any_adhd,Odds Ratio,2.0747,1.9471,2.2106,1
Table any_str * e_any_sub,Odds Ratio,2.2472,2.1451,2.3541,1
Table any_str * e_any_dep,Odds Ratio,2.6408,2.5465,2.7387,1
Table any_str * e_any_str,Odds Ratio,3.4008,3.2757,3.5306,1
Table any_str * e_any_anx,Odds Ratio,1.9138,1.8461,1.9840,1
Table any_str * e_any_phb,Odds Ratio,1.5985,1.5008,1.7026,1
Table any_str * e_any_ptsd,Odds Ratio,2.7416,2.5893,2.9028,1
Table any_str * e_any_som,Odds Ratio,1.7290,1.5771,1.8957,1
Table any_str * e_any_psy,Odds Ratio,2.3957,2.2489,2.5520,1
Table any_str * e_any_oth,Odds Ratio,1.8128,1.7513,1.8766,1
Table any_str * e_any_slp,Odds Ratio,1.9860,1.9175,2.0569,1
Table any_str * e_any_sex,Odds Ratio,1.8610,1.7430,1.9870,1
Table any_str * e_any_sui,Odds Ratio,3.3905,3.1318,3.6705,1
Table any_str * e_any_per,Odds Ratio,2.5649,2.3810,2.7631,1
Table any_anx * e_any_MH,Odds Ratio,2.8598,2.7407,2.9842,1
Table any_anx * e_any_adhd,Odds Ratio,1.7319,1.6445,1.8239,1
Table any_anx * e_any_sub,Odds Ratio,1.6847,1.6212,1.7507,1
Table any_anx * e_any_dep,Odds Ratio,2.2068,2.1491,2.2660,1
Table any_anx * e_any_str,Odds Ratio,1.8065,1.7601,1.8540,1
Table any_anx * e_any_anx,Odds Ratio,2.1427,2.0863,2.2007,1
Table any_anx * e_any_phb,Odds Ratio,1.8112,1.7304,1.8957,1
Table any_anx * e_any_ptsd,Odds Ratio,1.8074,1.7202,1.8989,1
Table any_anx * e_any_som,Odds Ratio,1.6467,1.5349,1.7667,1
Table any_anx * e_any_psy,Odds Ratio,1.9558,1.8573,2.0596,1
Table any_anx * e_any_oth,Odds Ratio,1.6788,1.6360,1.7227,1
Table any_anx * e_any_slp,Odds Ratio,1.7202,1.6751,1.7665,1
Table any_anx * e_any_sex,Odds Ratio,1.5489,1.4693,1.6327,1
Table any_anx * e_any_sui,Odds Ratio,1.8627,1.7269,2.0092,1
Table any_anx * e_any_per,Odds Ratio,1.9744,1.8545,2.1021,1
Table any_phb * e_any_MH,Odds Ratio,2.5908,2.4109,2.7842,1
Table any_phb * e_any_adhd,Odds Ratio,1.7045,1.5591,1.8634,1
Table any_phb * e_any_sub,Odds Ratio,1.4028,1.3076,1.5050,1
Table any_phb * e_any_dep,Odds Ratio,1.9430,1.8567,2.0333,1
Table any_phb * e_any_str,Odds Ratio,1.6360,1.5642,1.7110,1
Table any_phb * e_any_anx,Odds Ratio,1.7901,1.7079,1.8761,1
Table any_phb * e_any_phb,Odds Ratio,1.9285,1.7868,2.0815,1
Table any_phb * e_any_ptsd,Odds Ratio,1.5053,1.3752,1.6478,1
Table any_phb * e_any_som,Odds Ratio,1.4805,1.3067,1.6774,1
Table any_phb * e_any_psy,Odds Ratio,1.8629,1.7025,2.0385,1
Table any_phb * e_any_oth,Odds Ratio,1.6579,1.5855,1.7337,1
Table any_phb * e_any_slp,Odds Ratio,1.6624,1.5876,1.7406,1
Table any_phb * e_any_sex,Odds Ratio,1.4090,1.2821,1.5486,1
Table any_phb * e_any_sui,Odds Ratio,1.6135,1.4076,1.8495,1
Table any_phb * e_any_per,Odds Ratio,1.7656,1.5784,1.9750,1
Table any_ptsd * e_any_MH,Odds Ratio,7.8542,6.2258,9.9085,1
Table any_ptsd * e_any_adhd,Odds Ratio,2.9748,2.5830,3.4261,1
Table any_ptsd * e_any_sub,Odds Ratio,3.4430,3.0984,3.8259,1
Table any_ptsd * e_any_dep,Odds Ratio,3.6765,3.3186,4.0730,1
Table any_ptsd * e_any_str,Odds Ratio,3.5877,3.2466,3.9645,1
Table any_ptsd * e_any_anx,Odds Ratio,2.2103,2.0166,2.4225,1
Table any_ptsd * e_any_phb,Odds Ratio,1.8752,1.6078,2.1870,1
Table any_ptsd * e_any_ptsd,Odds Ratio,6.9003,6.2014,7.6778,1
Table any_ptsd * e_any_som,Odds Ratio,2.2067,1.7866,2.7257,1
Table any_ptsd * e_any_psy,Odds Ratio,3.3715,2.9281,3.8821,1
Table any_ptsd * e_any_oth,Odds Ratio,2.2738,2.0768,2.4896,1
Table any_ptsd * e_any_slp,Odds Ratio,2.3522,2.1493,2.5743,1
Table any_ptsd * e_any_sex,Odds Ratio,1.9991,1.7024,2.3476,1
Table any_ptsd * e_any_sui,Odds Ratio,5.2680,4.4756,6.2006,1
Table any_ptsd * e_any_per,Odds Ratio,3.9521,3.3547,4.6560,1
Table any_som * e_any_MH,Odds Ratio,2.0443,1.8266,2.2879,1
Table any_som * e_any_adhd,Odds Ratio,1.7443,1.5025,2.0251,1
Table any_som * e_any_sub,Odds Ratio,1.6218,1.4479,1.8166,1
Table any_som * e_any_dep,Odds Ratio,1.6800,1.5562,1.8137,1
Table any_som * e_any_str,Odds Ratio,1.6431,1.5223,1.7735,1
Table any_som * e_any_anx,Odds Ratio,1.6524,1.5238,1.7918,1
Table any_som * e_any_phb,Odds Ratio,1.6096,1.4011,1.8491,1
Table any_som * e_any_ptsd,Odds Ratio,2.0139,1.7560,2.3097,1
Table any_som * e_any_som,Odds Ratio,2.3040,1.9325,2.7468,1
Table any_som * e_any_psy,Odds Ratio,1.7677,1.5128,2.0654,1
Table any_som * e_any_oth,Odds Ratio,1.5844,1.4683,1.7097,1
Table any_som * e_any_slp,Odds Ratio,1.5348,1.4181,1.6611,1
Table any_som * e_any_sex,Odds Ratio,1.5418,1.3219,1.7982,1
Table any_som * e_any_sui,Odds Ratio,1.7098,1.3644,2.1426,1
Table any_som * e_any_per,Odds Ratio,1.9454,1.6239,2.3305,1
Table any_psy * e_any_MH,Odds Ratio,4.6733,3.7708,5.7918,1
Table any_psy * e_any_adhd,Odds Ratio,2.7040,2.2782,3.2094,1
Table any_psy * e_any_sub,Odds Ratio,2.2651,1.9728,2.6007,1
Table any_psy * e_any_dep,Odds Ratio,2.7650,2.4747,3.0894,1
Table any_psy * e_any_str,Odds Ratio,2.4919,2.2350,2.7782,1
Table any_psy * e_any_anx,Odds Ratio,1.9939,1.7907,2.2203,1
Table any_psy * e_any_phb,Odds Ratio,1.7141,1.4256,2.0609,1
Table any_psy * e_any_ptsd,Odds Ratio,2.4824,2.0944,2.9423,1
Table any_psy * e_any_som,Odds Ratio,1.6451,1.2499,2.1652,1
Table any_psy * e_any_psy,Odds Ratio,4.3906,3.7847,5.0934,1
Table any_psy * e_any_oth,Odds Ratio,2.1110,1.9019,2.3430,1
Table any_psy * e_any_slp,Odds Ratio,2.1201,1.9099,2.3535,1
Table any_psy * e_any_sex,Odds Ratio,1.5736,1.2729,1.9455,1
Table any_psy * e_any_sui,Odds Ratio,2.5091,1.9327,3.2573,1
Table any_psy * e_any_per,Odds Ratio,2.4995,1.9924,3.1356,1
Table any_oth * e_any_MH,Odds Ratio,2.8483,2.7440,2.9565,1
Table any_oth * e_any_adhd,Odds Ratio,2.3059,2.2111,2.4047,1
Table any_oth * e_any_sub,Odds Ratio,1.8514,1.7906,1.9143,1
Table any_oth * e_any_dep,Odds Ratio,2.2178,2.1662,2.2706,1
Table any_oth * e_any_str,Odds Ratio,1.8136,1.7722,1.8560,1
Table any_oth * e_any_anx,Odds Ratio,1.7393,1.6972,1.7823,1
Table any_oth * e_any_phb,Odds Ratio,1.6334,1.5655,1.7042,1
Table any_oth * e_any_ptsd,Odds Ratio,2.0680,1.9822,2.1574,1
Table any_oth * e_any_som,Odds Ratio,1.5830,1.4846,1.6878,1
Table any_oth * e_any_psy,Odds Ratio,2.3411,2.2420,2.4447,1
Table any_oth * e_any_oth,Odds Ratio,2.0166,1.9708,2.0634,1
Table any_oth * e_any_slp,Odds Ratio,1.7793,1.7378,1.8218,1
Table any_oth * e_any_sex,Odds Ratio,1.5498,1.4781,1.6250,1
Table any_oth * e_any_sui,Odds Ratio,2.2942,2.1548,2.4425,1
Table any_oth * e_any_per,Odds Ratio,2.4211,2.2978,2.5510,1
Table any_slp * e_any_MH,Odds Ratio,2.7122,2.6278,2.7993,1
Table any_slp * e_any_adhd,Odds Ratio,2.3936,2.3084,2.4819,1
Table any_slp * e_any_sub,Odds Ratio,1.8030,1.7508,1.8568,1
Table any_slp * e_any_dep,Odds Ratio,2.0647,2.0232,2.1071,1
Table any_slp * e_any_str,Odds Ratio,1.7156,1.6816,1.7503,1
Table any_slp * e_any_anx,Odds Ratio,1.7257,1.6892,1.7629,1
Table any_slp * e_any_phb,Odds Ratio,1.6469,1.5872,1.7089,1
Table any_slp * e_any_ptsd,Odds Ratio,1.8780,1.8077,1.9510,1
Table any_slp * e_any_som,Odds Ratio,1.6207,1.5326,1.7139,1
Table any_slp * e_any_psy,Odds Ratio,1.9771,1.8986,2.0588,1
Table any_slp * e_any_oth,Odds Ratio,1.7414,1.7069,1.7765,1
Table any_slp * e_any_slp,Odds Ratio,2.2013,2.1572,2.2463,1
Table any_slp * e_any_sex,Odds Ratio,1.4301,1.3704,1.4924,1
Table any_slp * e_any_sui,Odds Ratio,2.1527,2.0355,2.2766,1
Table any_slp * e_any_per,Odds Ratio,1.9301,1.8371,2.0279,1
Table any_sex * e_any_MH,Odds Ratio,2.3219,1.9280,2.7961,1
Table any_sex * e_any_adhd,Odds Ratio,2.0413,1.6393,2.5418,1
Table any_sex * e_any_sub,Odds Ratio,1.6604,1.3901,1.9834,1
Table any_sex * e_any_dep,Odds Ratio,1.9518,1.7279,2.2049,1
Table any_sex * e_any_str,Odds Ratio,1.6470,1.4607,1.8571,1
Table any_sex * e_any_anx,Odds Ratio,1.4836,1.3027,1.6895,1
Table any_sex * e_any_phb,Odds Ratio,1.6297,1.3132,2.0226,1
Table any_sex * e_any_ptsd,Odds Ratio,1.7473,1.3894,2.1974,1
Table any_sex * e_any_som,Odds Ratio,1.1906,0.8230,1.7224,0
Table any_sex * e_any_psy,Odds Ratio,2.1363,1.7051,2.6765,1
Table any_sex * e_any_oth,Odds Ratio,1.5786,1.4005,1.7794,1
Table any_sex * e_any_slp,Odds Ratio,1.6407,1.4504,1.8560,1
Table any_sex * e_any_sex,Odds Ratio,2.2562,1.8379,2.7697,1
Table any_sex * e_any_sui,Odds Ratio,2.4722,1.8336,3.3331,1
Table any_sex * e_any_per,Odds Ratio,2.4327,1.8818,3.1448,1
Table any_per * e_any_MH,Odds Ratio,4.1621,3.3029,5.2448,1
Table any_per * e_any_adhd,Odds Ratio,2.6388,2.1760,3.1999,1
Table any_per * e_any_sub,Odds Ratio,2.4216,2.0835,2.8147,1
Table any_per * e_any_dep,Odds Ratio,3.0127,2.6560,3.4173,1
Table any_per * e_any_str,Odds Ratio,2.1778,1.9331,2.4535,1
Table any_per * e_any_anx,Odds Ratio,1.9956,1.7701,2.2499,1
Table any_per * e_any_phb,Odds Ratio,1.9143,1.5736,2.3288,1
Table any_per * e_any_ptsd,Odds Ratio,2.2331,1.8312,2.7233,1
Table any_per * e_any_som,Odds Ratio,1.8798,1.3994,2.5250,1
Table any_per * e_any_psy,Odds Ratio,3.0018,2.4788,3.6352,1
Table any_per * e_any_oth,Odds Ratio,2.0159,1.7946,2.2646,1
Table any_per * e_any_slp,Odds Ratio,2.0665,1.8384,2.3229,1
Table any_per * e_any_sex,Odds Ratio,1.7653,1.4168,2.1996,1
Table any_per * e_any_sui,Odds Ratio,3.1304,2.4133,4.0607,1
Table any_per * e_any_per,Odds Ratio,3.4341,2.7711,4.2557,1
Table any_sui * e_any_MH,Odds Ratio,5.7632,4.8588,6.8359,1
Table any_sui * e_any_adhd,Odds Ratio,2.6781,2.3651,3.0325,1
Table any_sui * e_any_sub,Odds Ratio,2.7535,2.5058,3.0256,1
Table any_sui * e_any_dep,Odds Ratio,3.0179,2.7809,3.2751,1
Table any_sui * e_any_str,Odds Ratio,3.2357,2.9800,3.5133,1
Table any_sui * e_any_anx,Odds Ratio,1.9273,1.7822,2.0842,1
Table any_sui * e_any_phb,Odds Ratio,1.7995,1.5775,2.0528,1
Table any_sui * e_any_ptsd,Odds Ratio,2.4665,2.1767,2.7949,1
Table any_sui * e_any_som,Odds Ratio,1.7541,1.4452,2.1292,1
Table any_sui * e_any_psy,Odds Ratio,2.6032,2.2832,2.9681,1
Table any_sui * e_any_oth,Odds Ratio,2.0669,1.9165,2.2292,1
Table any_sui * e_any_slp,Odds Ratio,2.1280,1.9726,2.2956,1
Table any_sui * e_any_sex,Odds Ratio,2.0034,1.7478,2.2964,1
Table any_sui * e_any_sui,Odds Ratio,4.3374,3.7425,5.0269,1
Table any_sui * e_any_per,Odds Ratio,3.0862,2.6657,3.5729,1
Table any_con * e_any_MH,Odds Ratio,1.3620,1.3238,1.4013,1
Table any_con * e_any_adhd,Odds Ratio,1.4678,1.3991,1.5399,1
Table any_con * e_any_sub,Odds Ratio,1.1908,1.1472,1.2360,1
Table any_con * e_any_dep,Odds Ratio,1.2968,1.2683,1.3259,1
Table any_con * e_any_str,Odds Ratio,1.2521,1.2246,1.2802,1
Table any_con * e_any_anx,Odds Ratio,1.1897,1.1599,1.2201,1
Table any_con * e_any_phb,Odds Ratio,1.2175,1.1630,1.2745,1
Table any_con * e_any_ptsd,Odds Ratio,1.1594,1.1020,1.2199,1
Table any_con * e_any_som,Odds Ratio,1.2381,1.1573,1.3246,1
Table any_con * e_any_psy,Odds Ratio,1.2916,1.2247,1.3621,1
Table any_con * e_any_oth,Odds Ratio,1.2331,1.2056,1.2612,1
Table any_con * e_any_slp,Odds Ratio,1.2772,1.2472,1.3080,1
Table any_con * e_any_sex,Odds Ratio,1.0861,1.0308,1.1444,1
Table any_con * e_any_sui,Odds Ratio,1.3580,1.2600,1.4637,1
Table any_con * e_any_per,Odds Ratio,1.3393,1.2564,1.4278,1
Table any_dev * e_any_MH,Odds Ratio,1.6870,1.6210,1.7558,1
Table any_dev * e_any_adhd,Odds Ratio,1.8405,1.7383,1.9489,1
Table any_dev * e_any_sub,Odds Ratio,1.4940,1.4277,1.5633,1
Table any_dev * e_any_dep,Odds Ratio,1.5813,1.5358,1.6282,1
Table any_dev * e_any_str,Odds Ratio,1.4162,1.3756,1.4580,1
Table any_dev * e_any_anx,Odds Ratio,1.3544,1.3114,1.3989,1
Table any_dev * e_any_phb,Odds Ratio,1.3841,1.3072,1.4656,1
Table any_dev * e_any_ptsd,Odds Ratio,1.5911,1.5012,1.6864,1
Table any_dev * e_any_som,Odds Ratio,1.4394,1.3239,1.5650,1
Table any_dev * e_any_psy,Odds Ratio,1.6417,1.5423,1.7474,1
Table any_dev * e_any_oth,Odds Ratio,1.4140,1.3731,1.4560,1
Table any_dev * e_any_slp,Odds Ratio,1.4148,1.3720,1.4589,1
Table any_dev * e_any_sex,Odds Ratio,1.3604,1.2775,1.4488,1
Table any_dev * e_any_sui,Odds Ratio,1.6806,1.5366,1.8382,1
Table any_dev * e_any_per,Odds Ratio,1.7346,1.6091,1.8699,1
Table any_stm * e_any_MH,Odds Ratio,1.6948,1.6041,1.7905,1
Table any_stm * e_any_adhd,Odds Ratio,2.0329,1.8855,2.1919,1
Table any_stm * e_any_sub,Odds Ratio,1.2707,1.1898,1.3571,1
Table any_stm * e_any_dep,Odds Ratio,1.4972,1.4384,1.5584,1
Table any_stm * e_any_str,Odds Ratio,1.3274,1.2753,1.3816,1
Table any_stm * e_any_anx,Odds Ratio,1.4790,1.4158,1.5450,1
Table any_stm * e_any_phb,Odds Ratio,1.5007,1.3916,1.6183,1
Table any_stm * e_any_ptsd,Odds Ratio,1.3631,1.2526,1.4833,1
Table any_stm * e_any_som,Odds Ratio,1.4608,1.3024,1.6386,1
Table any_stm * e_any_psy,Odds Ratio,1.4565,1.3308,1.5940,1
Table any_stm * e_any_oth,Odds Ratio,1.4393,1.3825,1.4984,1
Table any_stm * e_any_slp,Odds Ratio,1.4278,1.3688,1.4892,1
Table any_stm * e_any_sex,Odds Ratio,1.3703,1.2578,1.4928,1
Table any_stm * e_any_sui,Odds Ratio,1.3141,1.1495,1.5024,1
Table any_stm * e_any_per,Odds Ratio,1.6938,1.5284,1.8770,1
