Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_slp * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3612,1.3405,1.3821,1
Table m_any_slp * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.4336,1.4059,1.4620,1
Table m_any_slp * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.4282,1.3728,1.4858,1
Table m_any_slp * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.7252,1.6509,1.8029,1
Table m_any_slp * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.3100,1.2285,1.3968,1
Table m_any_slp * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.7678,1.6872,1.8524,1
Table m_any_slp * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.3266,1.3049,1.3486,1
Table m_any_slp * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4712,1.2941,1.6725,1
Table m_any_slp * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.7410,1.6343,1.8548,1
Table m_any_slp * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.0118,1.8548,2.1822,1
Table m_any_sex * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7427,1.6804,1.8074,1
Table m_any_sex * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.5386,1.4457,1.6376,1
Table m_any_sex * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.4518,1.4233,1.4808,1
Table m_any_sex * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3265,1.3001,1.3534,1
Table m_any_sex * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.3594,1.3271,1.3926,1
Table m_any_sex * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.3347,1.2719,1.4005,1
Table m_any_sex * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.5262,1.4508,1.6055,1
Table m_any_sex * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.2665,1.1722,1.3684,1
Table m_any_sex * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.5910,1.5105,1.6759,1
Table m_any_sex * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.2420,1.2157,1.2689,1
Table m_any_sex * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4873,1.4549,1.5204,1
Table m_any_sex * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.6341,1.5250,1.7510,1
Table m_any_sex * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.8788,1.7348,2.0347,1
Table m_any_per * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.8806,2.6927,3.0815,1
Table m_any_per * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.3416,3.0170,3.7013,1
Table m_any_per * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.2324,2.1370,2.3320,1
Table m_any_per * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6925,1.6196,1.7687,1
Table m_any_per * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.2277,2.1232,2.3373,1
Table m_any_per * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.2719,2.0813,2.4799,1
Table m_any_per * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.2151,2.9554,3.4976,1
Table m_any_per * f_any_som,Case-Control (Odds Ratio),Odds Ratio,2.0019,1.7349,2.3100,1
Table m_any_per * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.1601,2.8858,3.4604,1
Table m_any_per * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.6581,1.5840,1.7357,1
Table m_any_per * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.5586,1.4846,1.6363,1
Table m_any_per * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4742,1.0499,2.0698,1
Table m_any_per * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.6904,3.1979,4.2587,1
Table m_any_sui * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,3.6291,3.3996,3.8742,1
Table m_any_sui * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.4030,3.0690,3.7735,1
Table m_any_sui * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.3789,2.2722,2.4905,1
Table m_any_sui * f_any_str,Case-Control (Odds Ratio),Odds Ratio,2.2563,2.1553,2.3620,1
Table m_any_sui * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.2518,2.1418,2.3674,1
Table m_any_sui * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.1027,1.9158,2.3078,1
Table m_any_sui * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.1469,2.8820,3.4361,1
Table m_any_sui * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.7634,1.5072,2.0630,1
Table m_any_sui * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.1561,2.8750,3.4647,1
Table m_any_sui * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.7758,1.6935,1.8622,1
Table m_any_sui * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.8562,1.7670,1.9500,1
Table m_any_sui * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4141,0.9857,2.0287,0
Table m_any_sui * f_any_per,Case-Control (Odds Ratio),Odds Ratio,4.3268,3.8740,4.8325,1
