Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_som * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.7190,1.4995,1.9707,1
Table m_any_som * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.3127,1.2375,1.3925,1
Table m_any_som * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.2224,1.1468,1.3031,1
Table m_any_som * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.9708,1.3734,2.8280,1
Table m_any_som * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.9515,1.6422,2.3191,1
Table m_any_som * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.9386,1.5701,2.3936,1
Table m_any_psy * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.2833,2.1918,2.3786,1
Table m_any_psy * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,3.1772,3.0292,3.3324,1
Table m_any_psy * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.3118,3.0772,3.5643,1
Table m_any_psy * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.0288,1.9641,2.0956,1
Table m_any_psy * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6444,1.5915,1.6991,1
Table m_any_psy * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.0311,1.9592,2.1057,1
Table m_any_psy * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.0861,1.9534,2.2277,1
Table m_any_psy * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.5982,2.4315,2.7763,1
Table m_any_psy * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.8499,1.6616,2.0595,1
Table m_any_psy * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,4.1042,3.8732,4.3489,1
Table m_any_psy * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.6903,1.6342,1.7484,1
Table m_any_psy * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6914,1.6325,1.7523,1
Table m_any_psy * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5663,1.2300,1.9946,1
Table m_any_psy * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.9610,3.6670,4.2785,1
Table m_any_psy * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,4.2332,3.8658,4.6357,1
Table m_any_oth * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.8965,1.8688,1.9246,1
Table m_any_oth * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7478,1.7048,1.7919,1
Table m_any_oth * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.1922,2.1093,2.2783,1
Table m_any_oth * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.6786,1.6571,1.7005,1
Table m_any_oth * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.4969,1.4774,1.5166,1
Table m_any_oth * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.6204,1.5955,1.6456,1
Table m_any_oth * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.5482,1.5013,1.5967,1
Table m_any_oth * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.0675,2.0030,2.1340,1
Table m_any_oth * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.4951,1.4238,1.5700,1
Table m_any_oth * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.0483,1.9816,2.1171,1
Table m_any_oth * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.8124,1.7882,1.8370,1
Table m_any_oth * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4187,1.3980,1.4398,1
Table m_any_oth * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3164,1.1833,1.4644,1
Table m_any_oth * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.2891,2.1923,2.3903,1
Table m_any_oth * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.3733,2.2523,2.5007,1
Table m_any_slp * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.7778,1.7531,1.8027,1
Table m_any_slp * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.9745,1.9285,2.0215,1
Table m_any_slp * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.9450,1.8714,2.0216,1
Table m_any_slp * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.6103,1.5903,1.6306,1
Table m_any_slp * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.4049,1.3872,1.4229,1
Table m_any_slp * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.5866,1.5629,1.6105,1
Table m_any_slp * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.5547,1.5089,1.6017,1
Table m_any_slp * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.8064,1.7498,1.8648,1
Table m_any_slp * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.4023,1.3363,1.4717,1
Table m_any_slp * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.8813,1.8205,1.9441,1
Table m_any_slp * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.3806,1.3622,1.3992,1
Table m_any_slp * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.7760,1.7516,1.8006,1
Table m_any_slp * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5604,1.4147,1.7212,1
Table m_any_slp * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.9265,1.8438,2.0129,1
Table m_any_slp * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.1824,2.0718,2.2990,1
Table m_any_sex * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.4941,1.4619,1.5270,1
Table m_any_sex * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7488,1.6865,1.8133,1
Table m_any_sex * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.5417,1.4490,1.6403,1
Table m_any_sex * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.4542,1.4257,1.4832,1
Table m_any_sex * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3286,1.3023,1.3556,1
Table m_any_sex * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.3610,1.3287,1.3940,1
Table m_any_sex * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.3379,1.2753,1.4036,1
Table m_any_sex * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.5270,1.4519,1.6059,1
Table m_any_sex * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.2663,1.1724,1.3678,1
Table m_any_sex * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.5911,1.5109,1.6755,1
Table m_any_sex * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.2428,1.2165,1.2696,1
Table m_any_sex * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4920,1.4596,1.5251,1
Table m_any_sex * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.7220,1.4940,1.9847,1
Table m_any_sex * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.6331,1.5246,1.7493,1
Table m_any_sex * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.8890,1.7453,2.0445,1
Table m_any_per * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.6172,2.4750,2.7675,1
Table m_any_per * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,3.1326,2.9448,3.3323,1
Table m_any_per * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.6013,3.2874,3.9452,1
Table m_any_per * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.3653,2.2673,2.4676,1
Table m_any_per * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.7174,1.6459,1.7921,1
Table m_any_per * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.3888,2.2826,2.4999,1
Table m_any_per * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.5469,2.3547,2.7548,1
Table m_any_per * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.3744,3.1240,3.6448,1
Table m_any_per * f_any_som,Case-Control (Odds Ratio),Odds Ratio,2.1697,1.9062,2.4697,1
Table m_any_per * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.6318,3.3600,3.9256,1
Table m_any_per * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.7761,1.7002,1.8555,1
Table m_any_per * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6545,1.5797,1.7330,1
Table m_any_per * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4942,1.0837,2.0602,1
Table m_any_per * f_any_per,Case-Control (Odds Ratio),Odds Ratio,5.2646,4.8214,5.7485,1
Table m_any_per * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,4.4819,4.0024,5.0189,1
Table m_any_sui * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,3.4433,3.2265,3.6746,1
Table m_any_sui * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,3.9384,3.7067,4.1844,1
Table m_any_sui * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.6408,3.3078,4.0073,1
Table m_any_sui * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.4985,2.3887,2.6133,1
Table m_any_sui * f_any_str,Case-Control (Odds Ratio),Odds Ratio,2.2732,2.1737,2.3773,1
Table m_any_sui * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.4060,2.2931,2.5245,1
Table m_any_sui * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.2147,2.0284,2.4181,1
Table m_any_sui * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.2660,3.0073,3.5471,1
Table m_any_sui * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.8766,1.6211,2.1724,1
Table m_any_sui * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.5040,3.2238,3.8086,1
Table m_any_sui * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.8570,1.7735,1.9445,1
Table m_any_sui * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.9389,1.8487,2.0335,1
Table m_any_sui * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5911,1.1440,2.2130,1
Table m_any_sui * f_any_per,Case-Control (Odds Ratio),Odds Ratio,4.9260,4.4784,5.4184,1
Table m_any_sui * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,5.5434,4.9697,6.1833,1
