Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_phb * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.5790,2.3082,2.8816,1
Table m_any_ptsd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.9083,1.7289,2.1063,1
Table m_any_ptsd * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.7644,2.4611,3.1051,1
Table m_any_ptsd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.7727,1.6413,1.9146,1
Table m_any_ptsd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6593,1.5643,1.7600,1
Table m_any_ptsd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.6842,1.5730,1.8033,1
Table m_any_ptsd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.7844,1.6131,1.9739,1
Table m_any_ptsd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.6105,1.3767,1.8839,1
Table m_any_ptsd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.4952,2.2540,2.7623,1
Table m_any_ptsd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.5029,1.4134,1.5980,1
Table m_any_ptsd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.5050,1.4093,1.6073,1
Table m_any_ptsd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.1858,0.7925,1.7743,0
Table m_any_ptsd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.0608,2.7096,3.4574,1
Table m_any_ptsd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.9566,2.5461,3.4332,1
Table m_any_som * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.2076,1.0532,1.3847,1
Table m_any_som * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.6481,1.3816,1.9661,1
Table m_any_som * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.1816,1.0910,1.2796,1
Table m_any_som * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.1796,1.1011,1.2636,1
Table m_any_som * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.2009,1.0940,1.3183,1
Table m_any_som * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.4109,1.2294,1.6191,1
Table m_any_som * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.4829,1.2824,1.7148,1
Table m_any_som * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.5983,1.3757,1.8570,1
Table m_any_som * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.2102,1.1236,1.3034,1
Table m_any_som * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.0783,0.9936,1.1703,0
Table m_any_som * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.9417,1.3176,2.8615,1
Table m_any_som * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.7383,1.4363,2.1038,1
Table m_any_som * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.9425,1.5616,2.4162,1
Table m_any_psy * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.9955,1.8496,2.1529,1
Table m_any_psy * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.8945,2.6549,3.1558,1
Table m_any_psy * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.8595,1.7547,1.9705,1
Table m_any_psy * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6379,1.5738,1.7047,1
Table m_any_psy * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.7740,1.6888,1.8635,1
Table m_any_psy * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.9728,1.8361,2.1197,1
Table m_any_psy * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.5094,2.3400,2.6911,1
Table m_any_psy * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.8711,1.6791,2.0851,1
Table m_any_psy * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.5636,1.4896,1.6412,1
Table m_any_psy * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.5675,1.4946,1.6439,1
Table m_any_psy * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4155,1.0772,1.8600,1
Table m_any_psy * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.5657,3.2691,3.8892,1
Table m_any_psy * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.9244,3.5473,4.3415,1
Table m_any_oth * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.4033,1.3603,1.4477,1
Table m_any_oth * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.9828,1.9012,2.0680,1
Table m_any_oth * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.5040,1.4784,1.5299,1
Table m_any_oth * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3975,1.3753,1.4201,1
Table m_any_oth * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.5124,1.4856,1.5396,1
Table m_any_oth * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.5048,1.4572,1.5539,1
Table m_any_oth * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.0236,1.9588,2.0905,1
Table m_any_oth * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.4912,1.4195,1.5666,1
Table m_any_oth * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.8793,1.8138,1.9473,1
Table m_any_oth * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3414,1.3177,1.3655,1
Table m_any_oth * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3180,1.1774,1.4754,1
Table m_any_oth * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.1511,2.0557,2.2509,1
Table m_any_oth * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.2415,2.1222,2.3675,1
Table m_any_slp * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.6318,1.5852,1.6797,1
Table m_any_slp * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.7791,1.7061,1.8553,1
Table m_any_slp * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.4254,1.4024,1.4488,1
Table m_any_slp * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3227,1.3027,1.3430,1
Table m_any_slp * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.4505,1.4256,1.4759,1
Table m_any_slp * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.4972,1.4513,1.5446,1
Table m_any_slp * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.7658,1.7090,1.8246,1
Table m_any_slp * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.4004,1.3339,1.4702,1
Table m_any_slp * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.7996,1.7383,1.8632,1
Table m_any_slp * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.3005,1.2800,1.3212,1
Table m_any_slp * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5647,1.4098,1.7366,1
Table m_any_slp * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.8428,1.7603,1.9291,1
Table m_any_slp * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.0935,1.9831,2.2099,1
Table m_any_sex * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.5814,1.5131,1.6528,1
Table m_any_sex * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.4652,1.3699,1.5671,1
Table m_any_sex * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.3870,1.3536,1.4212,1
Table m_any_sex * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.2963,1.2661,1.3271,1
Table m_any_sex * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.2811,1.2469,1.3163,1
Table m_any_sex * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.3003,1.2369,1.3669,1
Table m_any_sex * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.5077,1.4316,1.5877,1
Table m_any_sex * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.2615,1.1672,1.3635,1
Table m_any_sex * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.5566,1.4742,1.6436,1
Table m_any_sex * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.2005,1.1714,1.2304,1
Table m_any_sex * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4149,1.3779,1.4528,1
Table m_any_sex * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.5820,1.4724,1.6998,1
Table m_any_sex * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.8684,1.7216,2.0278,1
Table m_any_per * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.1664,1.9734,2.3782,1
Table m_any_per * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.0142,2.6965,3.3693,1
Table m_any_per * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.1294,1.9731,2.2981,1
Table m_any_per * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6522,1.5647,1.7446,1
Table m_any_per * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.1439,2.0132,2.2830,1
Table m_any_per * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.4030,2.1999,2.6248,1
Table m_any_per * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.2127,2.9575,3.4899,1
Table m_any_per * f_any_som,Case-Control (Odds Ratio),Odds Ratio,2.2009,1.9309,2.5086,1
Table m_any_per * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.2393,2.9523,3.5541,1
Table m_any_per * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.6711,1.5730,1.7754,1
Table m_any_per * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.5595,1.4680,1.6568,1
Table m_any_per * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5135,1.0724,2.1361,1
Table m_any_per * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,4.1216,3.6303,4.6793,1
Table m_any_sui * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.1641,1.9260,2.4316,1
Table m_any_sui * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.9795,2.6506,3.3492,1
Table m_any_sui * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.4299,2.1921,2.6936,1
Table m_any_sui * f_any_str,Case-Control (Odds Ratio),Odds Ratio,2.2930,2.1588,2.4355,1
Table m_any_sui * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.0513,1.9166,2.1954,1
Table m_any_sui * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.1039,1.9110,2.3163,1
Table m_any_sui * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.1670,2.8999,3.4587,1
Table m_any_sui * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.8815,1.6228,2.1815,1
Table m_any_sui * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.1049,2.8056,3.4361,1
Table m_any_sui * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.7031,1.5966,1.8168,1
Table m_any_sui * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.7542,1.6418,1.8743,1
Table m_any_sui * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.6077,1.1269,2.2937,1
Table m_any_sui * f_any_per,Case-Control (Odds Ratio),Odds Ratio,4.6074,4.1407,5.1268,1
