Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table any_sub * e_any_adhd,Row 1,0.0408,0.0003,0.0402,0.0413,
Table any_sub * e_any_adhd,Row 2,0.0964,0.0041,0.0884,0.1045,
Table any_sub * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_sub * e_any_adhd,Difference,-0.0556,0.0041,-0.0637,-0.0476,1
Table any_sub * e_any_sub,Row 1,0.0827,0.0004,0.0819,0.0834,
Table any_sub * e_any_sub,Row 2,0.2042,0.0056,0.1932,0.2152,
Table any_sub * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_sub * e_any_sub,Difference,-0.1215,0.0056,-0.1326,-0.1105,1
Table any_sub * e_any_dep,Row 1,0.4315,0.0008,0.4300,0.4330,
Table any_sub * e_any_dep,Row 2,0.6143,0.0068,0.6011,0.6276,
Table any_sub * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_sub * e_any_dep,Difference,-0.1828,0.0068,-0.1961,-0.1695,1
Table any_sub * e_any_str,Row 1,0.4222,0.0008,0.4208,0.4237,
Table any_sub * e_any_str,Row 2,0.5878,0.0068,0.5744,0.6012,
Table any_sub * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_sub * e_any_str,Difference,-0.1655,0.0069,-0.1790,-0.1521,1
Table any_sub * e_any_anx,Row 1,0.2284,0.0006,0.2271,0.2296,
Table any_sub * e_any_anx,Row 2,0.3467,0.0066,0.3338,0.3597,
Table any_sub * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_sub * e_any_anx,Difference,-0.1184,0.0066,-0.1314,-0.1054,1
Table any_sub * e_any_phb,Row 1,0.0526,0.0003,0.0520,0.0533,
Table any_sub * e_any_phb,Row 2,0.0790,0.0037,0.0716,0.0863,
Table any_sub * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_sub * e_any_phb,Difference,-0.0263,0.0037,-0.0337,-0.0190,1
Table any_sub * e_any_ptsd,Row 1,0.0440,0.0003,0.0434,0.0446,
Table any_sub * e_any_ptsd,Row 2,0.0907,0.0040,0.0829,0.0986,
Table any_sub * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_sub * e_any_ptsd,Difference,-0.0467,0.0040,-0.0546,-0.0389,1
Table any_sub * e_any_som,Row 1,0.0226,0.0002,0.0221,0.0230,
Table any_sub * e_any_som,Row 2,0.0287,0.0023,0.0241,0.0332,
Table any_sub * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_sub * e_any_som,Difference,-0.0061,0.0023,-0.0107,-0.0015,1
Table any_sub * e_any_psy,Row 1,0.0367,0.0003,0.0362,0.0372,
Table any_sub * e_any_psy,Row 2,0.0858,0.0039,0.0781,0.0934,
Table any_sub * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_sub * e_any_psy,Difference,-0.0491,0.0039,-0.0567,-0.0414,1
Table any_sub * e_any_oth,Row 1,0.3638,0.0007,0.3624,0.3653,
Table any_sub * e_any_oth,Row 2,0.4747,0.0069,0.4611,0.4883,
Table any_sub * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_sub * e_any_oth,Difference,-0.1109,0.0070,-0.1245,-0.0972,1
Table any_sub * e_any_slp,Row 1,0.2711,0.0007,0.2698,0.2725,
Table any_sub * e_any_slp,Row 2,0.4012,0.0068,0.3878,0.4146,
Table any_sub * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_sub * e_any_slp,Difference,-0.1301,0.0068,-0.1435,-0.1167,1
Table any_sub * e_any_sex,Row 1,0.0435,0.0003,0.0429,0.0441,
Table any_sub * e_any_sex,Row 2,0.0827,0.0039,0.0752,0.0903,
Table any_sub * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_sub * e_any_sex,Difference,-0.0393,0.0039,-0.0469,-0.0317,1
Table any_sub * e_any_per,Row 1,0.0242,0.0002,0.0238,0.0246,
Table any_sub * e_any_per,Row 2,0.0583,0.0032,0.0519,0.0646,
Table any_sub * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_sub * e_any_per,Difference,-0.0341,0.0032,-0.0404,-0.0277,1
Table any_sub * e_any_sui,Row 1,0.0171,0.0002,0.0167,0.0175,
Table any_sub * e_any_sui,Row 2,0.0471,0.0029,0.0413,0.0528,
Table any_sub * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_sub * e_any_sui,Difference,-0.0300,0.0029,-0.0357,-0.0242,1
Table any_chad * e_any_adhd,Row 1,0.0370,0.0003,0.0365,0.0376,
Table any_chad * e_any_adhd,Row 2,0.1008,0.0014,0.0980,0.1035,
Table any_chad * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_chad * e_any_adhd,Difference,-0.0637,0.0014,-0.0665,-0.0610,1
Table any_chad * e_any_sub,Row 1,0.0794,0.0004,0.0786,0.0802,
Table any_chad * e_any_sub,Row 2,0.1425,0.0016,0.1394,0.1457,
Table any_chad * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_chad * e_any_sub,Difference,-0.0631,0.0016,-0.0663,-0.0600,1
Table any_chad * e_any_dep,Row 1,0.4209,0.0008,0.4194,0.4224,
Table any_chad * e_any_dep,Row 2,0.6043,0.0022,0.5999,0.6087,
Table any_chad * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_chad * e_any_dep,Difference,-0.1834,0.0023,-0.1879,-0.1789,1
Table any_chad * e_any_str,Row 1,0.4138,0.0008,0.4123,0.4154,
Table any_chad * e_any_str,Row 2,0.5610,0.0023,0.5565,0.5654,
Table any_chad * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_chad * e_any_str,Difference,-0.1471,0.0023,-0.1516,-0.1426,1
Table any_chad * e_any_anx,Row 1,0.2219,0.0006,0.2206,0.2232,
Table any_chad * e_any_anx,Row 2,0.3344,0.0022,0.3302,0.3387,
Table any_chad * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_chad * e_any_anx,Difference,-0.1125,0.0022,-0.1168,-0.1082,1
Table any_chad * e_any_phb,Row 1,0.0505,0.0003,0.0499,0.0512,
Table any_chad * e_any_phb,Row 2,0.0857,0.0013,0.0832,0.0882,
Table any_chad * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_chad * e_any_phb,Difference,-0.0352,0.0013,-0.0377,-0.0327,1
Table any_chad * e_any_ptsd,Row 1,0.0417,0.0003,0.0411,0.0423,
Table any_chad * e_any_ptsd,Row 2,0.0817,0.0013,0.0792,0.0842,
Table any_chad * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_chad * e_any_ptsd,Difference,-0.0399,0.0013,-0.0424,-0.0374,1
Table any_chad * e_any_som,Row 1,0.0217,0.0002,0.0213,0.0222,
Table any_chad * e_any_som,Row 2,0.0353,0.0009,0.0336,0.0370,
Table any_chad * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_chad * e_any_som,Difference,-0.0136,0.0009,-0.0152,-0.0119,1
Table any_chad * e_any_psy,Row 1,0.0347,0.0003,0.0342,0.0353,
Table any_chad * e_any_psy,Row 2,0.0702,0.0012,0.0678,0.0725,
Table any_chad * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_chad * e_any_psy,Difference,-0.0354,0.0012,-0.0377,-0.0331,1
Table any_chad * e_any_oth,Row 1,0.3563,0.0007,0.3548,0.3578,
Table any_chad * e_any_oth,Row 2,0.4840,0.0023,0.4795,0.4885,
Table any_chad * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_chad * e_any_oth,Difference,-0.1277,0.0023,-0.1322,-0.1231,1
Table any_chad * e_any_slp,Row 1,0.2650,0.0007,0.2636,0.2663,
Table any_chad * e_any_slp,Row 2,0.3740,0.0022,0.3696,0.3784,
Table any_chad * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_chad * e_any_slp,Difference,-0.1090,0.0022,-0.1134,-0.1046,1
Table any_chad * e_any_sex,Row 1,0.0426,0.0003,0.0419,0.0432,
Table any_chad * e_any_sex,Row 2,0.0605,0.0011,0.0583,0.0626,
Table any_chad * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_chad * e_any_sex,Difference,-0.0179,0.0011,-0.0201,-0.0158,1
Table any_chad * e_any_per,Row 1,0.0223,0.0002,0.0219,0.0228,
Table any_chad * e_any_per,Row 2,0.0548,0.0011,0.0527,0.0568,
Table any_chad * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_chad * e_any_per,Difference,-0.0324,0.0011,-0.0345,-0.0304,1
Table any_chad * e_any_sui,Row 1,0.0159,0.0002,0.0155,0.0162,
Table any_chad * e_any_sui,Row 2,0.0375,0.0009,0.0358,0.0393,
Table any_chad * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_chad * e_any_sui,Difference,-0.0216,0.0009,-0.0234,-0.0199,1
Table any_dep * e_any_adhd,Row 1,0.0397,0.0003,0.0392,0.0403,
Table any_dep * e_any_adhd,Row 2,0.0734,0.0015,0.0706,0.0763,
Table any_dep * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_dep * e_any_adhd,Difference,-0.0337,0.0015,-0.0366,-0.0308,1
Table any_dep * e_any_sub,Row 1,0.0810,0.0004,0.0802,0.0818,
Table any_dep * e_any_sub,Row 2,0.1401,0.0019,0.1362,0.1439,
Table any_dep * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_dep * e_any_sub,Difference,-0.0591,0.0020,-0.0629,-0.0552,1
Table any_dep * e_any_dep,Row 1,0.4238,0.0008,0.4223,0.4253,
Table any_dep * e_any_dep,Row 2,0.6375,0.0027,0.6322,0.6428,
Table any_dep * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_dep * e_any_dep,Difference,-0.2137,0.0027,-0.2190,-0.2084,1
Table any_dep * e_any_str,Row 1,0.4167,0.0008,0.4152,0.4182,
Table any_dep * e_any_str,Row 2,0.5748,0.0028,0.5694,0.5803,
Table any_dep * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_dep * e_any_str,Difference,-0.1581,0.0028,-0.1636,-0.1526,1
Table any_dep * e_any_anx,Row 1,0.2247,0.0006,0.2235,0.2260,
Table any_dep * e_any_anx,Row 2,0.3305,0.0026,0.3253,0.3356,
Table any_dep * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_dep * e_any_anx,Difference,-0.1057,0.0027,-0.1109,-0.1005,1
Table any_dep * e_any_phb,Row 1,0.0516,0.0003,0.0510,0.0523,
Table any_dep * e_any_phb,Row 2,0.0796,0.0015,0.0766,0.0826,
Table any_dep * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_dep * e_any_phb,Difference,-0.0280,0.0015,-0.0310,-0.0250,1
Table any_dep * e_any_ptsd,Row 1,0.0427,0.0003,0.0421,0.0433,
Table any_dep * e_any_ptsd,Row 2,0.0803,0.0015,0.0773,0.0833,
Table any_dep * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_dep * e_any_ptsd,Difference,-0.0376,0.0015,-0.0406,-0.0346,1
Table any_dep * e_any_som,Row 1,0.0222,0.0002,0.0217,0.0226,
Table any_dep * e_any_som,Row 2,0.0331,0.0010,0.0311,0.0351,
Table any_dep * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_dep * e_any_som,Difference,-0.0110,0.0010,-0.0129,-0.0090,1
Table any_dep * e_any_psy,Row 1,0.0355,0.0003,0.0350,0.0360,
Table any_dep * e_any_psy,Row 2,0.0720,0.0015,0.0691,0.0749,
Table any_dep * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_dep * e_any_psy,Difference,-0.0365,0.0015,-0.0393,-0.0336,1
Table any_dep * e_any_oth,Row 1,0.3593,0.0007,0.3579,0.3608,
Table any_dep * e_any_oth,Row 2,0.4836,0.0028,0.4781,0.4891,
Table any_dep * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_dep * e_any_oth,Difference,-0.1243,0.0028,-0.1298,-0.1187,1
Table any_dep * e_any_slp,Row 1,0.2669,0.0007,0.2655,0.2682,
Table any_dep * e_any_slp,Row 2,0.3896,0.0027,0.3843,0.3950,
Table any_dep * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_dep * e_any_slp,Difference,-0.1228,0.0028,-0.1282,-0.1174,1
Table any_dep * e_any_sex,Row 1,0.0426,0.0003,0.0420,0.0432,
Table any_dep * e_any_sex,Row 2,0.0686,0.0014,0.0658,0.0714,
Table any_dep * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_dep * e_any_sex,Difference,-0.0260,0.0014,-0.0288,-0.0232,1
Table any_dep * e_any_per,Row 1,0.0234,0.0002,0.0229,0.0238,
Table any_dep * e_any_per,Row 2,0.0483,0.0012,0.0459,0.0507,
Table any_dep * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_dep * e_any_per,Difference,-0.0249,0.0012,-0.0273,-0.0226,1
Table any_dep * e_any_sui,Row 1,0.0164,0.0002,0.0160,0.0168,
Table any_dep * e_any_sui,Row 2,0.0374,0.0011,0.0353,0.0396,
Table any_dep * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_dep * e_any_sui,Difference,-0.0210,0.0011,-0.0232,-0.0189,1
Table any_str * e_any_adhd,Row 1,0.0404,0.0003,0.0399,0.0410,
Table any_str * e_any_adhd,Row 2,0.0804,0.0024,0.0758,0.0850,
Table any_str * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_str * e_any_adhd,Difference,-0.0400,0.0024,-0.0446,-0.0353,1
Table any_str * e_any_sub,Row 1,0.0820,0.0004,0.0812,0.0828,
Table any_str * e_any_sub,Row 2,0.1671,0.0033,0.1607,0.1735,
Table any_str * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_str * e_any_sub,Difference,-0.0852,0.0033,-0.0916,-0.0788,1
Table any_str * e_any_dep,Row 1,0.4286,0.0008,0.4271,0.4301,
Table any_str * e_any_dep,Row 2,0.6645,0.0041,0.6565,0.6726,
Table any_str * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_str * e_any_dep,Difference,-0.2359,0.0041,-0.2441,-0.2278,1
Table any_str * e_any_str,Row 1,0.4183,0.0008,0.4168,0.4198,
Table any_str * e_any_str,Row 2,0.7097,0.0039,0.7021,0.7174,
Table any_str * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_str * e_any_str,Difference,-0.2915,0.0040,-0.2992,-0.2837,1
Table any_str * e_any_anx,Row 1,0.2268,0.0006,0.2256,0.2281,
Table any_str * e_any_anx,Row 2,0.3596,0.0042,0.3514,0.3678,
Table any_str * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_str * e_any_anx,Difference,-0.1327,0.0042,-0.1410,-0.1245,1
Table any_str * e_any_phb,Row 1,0.0523,0.0003,0.0516,0.0529,
Table any_str * e_any_phb,Row 2,0.0810,0.0024,0.0764,0.0857,
Table any_str * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_str * e_any_phb,Difference,-0.0288,0.0024,-0.0334,-0.0241,1
Table any_str * e_any_ptsd,Row 1,0.0431,0.0003,0.0425,0.0437,
Table any_str * e_any_ptsd,Row 2,0.1100,0.0028,0.1045,0.1155,
Table any_str * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_str * e_any_ptsd,Difference,-0.0669,0.0028,-0.0724,-0.0614,1
Table any_str * e_any_som,Row 1,0.0223,0.0002,0.0219,0.0228,
Table any_str * e_any_som,Row 2,0.0380,0.0017,0.0347,0.0413,
Table any_str * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_str * e_any_som,Difference,-0.0157,0.0017,-0.0190,-0.0123,1
Table any_str * e_any_psy,Row 1,0.0362,0.0003,0.0357,0.0368,
Table any_str * e_any_psy,Row 2,0.0826,0.0024,0.0779,0.0873,
Table any_str * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_str * e_any_psy,Difference,-0.0464,0.0024,-0.0511,-0.0417,1
Table any_str * e_any_oth,Row 1,0.3620,0.0007,0.3605,0.3635,
Table any_str * e_any_oth,Row 2,0.5071,0.0044,0.4985,0.5156,
Table any_str * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_str * e_any_oth,Difference,-0.1450,0.0044,-0.1537,-0.1364,1
Table any_str * e_any_slp,Row 1,0.2693,0.0007,0.2680,0.2706,
Table any_str * e_any_slp,Row 2,0.4226,0.0043,0.4141,0.4311,
Table any_str * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_str * e_any_slp,Difference,-0.1533,0.0043,-0.1618,-0.1448,1
Table any_str * e_any_sex,Row 1,0.0431,0.0003,0.0425,0.0437,
Table any_str * e_any_sex,Row 2,0.0774,0.0024,0.0727,0.0820,
Table any_str * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_str * e_any_sex,Difference,-0.0342,0.0024,-0.0389,-0.0296,1
Table any_str * e_any_per,Row 1,0.0238,0.0002,0.0234,0.0242,
Table any_str * e_any_per,Row 2,0.0589,0.0021,0.0548,0.0630,
Table any_str * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_str * e_any_per,Difference,-0.0351,0.0021,-0.0391,-0.0310,1
Table any_str * e_any_sui,Row 1,0.0166,0.0002,0.0163,0.0170,
Table any_str * e_any_sui,Row 2,0.0542,0.0020,0.0502,0.0582,
Table any_str * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_str * e_any_sui,Difference,-0.0376,0.0020,-0.0416,-0.0336,1
Table any_anx * e_any_adhd,Row 1,0.0403,0.0003,0.0397,0.0408,
Table any_anx * e_any_adhd,Row 2,0.0678,0.0016,0.0646,0.0710,
Table any_anx * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_anx * e_any_adhd,Difference,-0.0275,0.0016,-0.0307,-0.0243,1
Table any_anx * e_any_sub,Row 1,0.0820,0.0004,0.0812,0.0828,
Table any_anx * e_any_sub,Row 2,0.1308,0.0022,0.1265,0.1351,
Table any_anx * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_anx * e_any_sub,Difference,-0.0488,0.0022,-0.0531,-0.0445,1
Table any_anx * e_any_dep,Row 1,0.4268,0.0008,0.4253,0.4283,
Table any_anx * e_any_dep,Row 2,0.6217,0.0032,0.6155,0.6278,
Table any_anx * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_anx * e_any_dep,Difference,-0.1949,0.0032,-0.2011,-0.1886,1
Table any_anx * e_any_str,Row 1,0.4189,0.0008,0.4174,0.4204,
Table any_anx * e_any_str,Row 2,0.5656,0.0032,0.5593,0.5719,
Table any_anx * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_anx * e_any_str,Difference,-0.1467,0.0033,-0.1531,-0.1404,1
Table any_anx * e_any_anx,Row 1,0.2243,0.0006,0.2231,0.2256,
Table any_anx * e_any_anx,Row 2,0.3826,0.0032,0.3764,0.3889,
Table any_anx * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_anx * e_any_anx,Difference,-0.1583,0.0032,-0.1645,-0.1520,1
Table any_anx * e_any_phb,Row 1,0.0516,0.0003,0.0510,0.0523,
Table any_anx * e_any_phb,Row 2,0.0897,0.0019,0.0861,0.0934,
Table any_anx * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_anx * e_any_phb,Difference,-0.0381,0.0019,-0.0418,-0.0344,1
Table any_anx * e_any_ptsd,Row 1,0.0433,0.0003,0.0427,0.0439,
Table any_anx * e_any_ptsd,Row 2,0.0757,0.0017,0.0723,0.0790,
Table any_anx * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_anx * e_any_ptsd,Difference,-0.0323,0.0017,-0.0357,-0.0289,1
Table any_anx * e_any_som,Row 1,0.0222,0.0002,0.0217,0.0226,
Table any_anx * e_any_som,Row 2,0.0360,0.0012,0.0336,0.0384,
Table any_anx * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_anx * e_any_som,Difference,-0.0138,0.0012,-0.0162,-0.0114,1
Table any_anx * e_any_psy,Row 1,0.0360,0.0003,0.0355,0.0366,
Table any_anx * e_any_psy,Row 2,0.0681,0.0016,0.0649,0.0714,
Table any_anx * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_anx * e_any_psy,Difference,-0.0321,0.0016,-0.0353,-0.0289,1
Table any_anx * e_any_oth,Row 1,0.3607,0.0007,0.3592,0.3622,
Table any_anx * e_any_oth,Row 2,0.4864,0.0033,0.4801,0.4928,
Table any_anx * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_anx * e_any_oth,Difference,-0.1257,0.0033,-0.1322,-0.1193,1
Table any_anx * e_any_slp,Row 1,0.2684,0.0007,0.2671,0.2697,
Table any_anx * e_any_slp,Row 2,0.3869,0.0032,0.3807,0.3931,
Table any_anx * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_anx * e_any_slp,Difference,-0.1185,0.0032,-0.1248,-0.1123,1
Table any_anx * e_any_sex,Row 1,0.0430,0.0003,0.0424,0.0436,
Table any_anx * e_any_sex,Row 2,0.0651,0.0016,0.0620,0.0683,
Table any_anx * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_anx * e_any_sex,Difference,-0.0221,0.0016,-0.0253,-0.0189,1
Table any_anx * e_any_per,Row 1,0.0238,0.0002,0.0233,0.0242,
Table any_anx * e_any_per,Row 2,0.0458,0.0014,0.0431,0.0485,
Table any_anx * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_anx * e_any_per,Difference,-0.0221,0.0014,-0.0248,-0.0194,1
Table any_anx * e_any_sui,Row 1,0.0169,0.0002,0.0165,0.0172,
Table any_anx * e_any_sui,Row 2,0.0309,0.0011,0.0287,0.0332,
Table any_anx * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_anx * e_any_sui,Difference,-0.0141,0.0011,-0.0163,-0.0119,1
Table any_phb * e_any_adhd,Row 1,0.0409,0.0003,0.0403,0.0414,
Table any_phb * e_any_adhd,Row 2,0.0677,0.0029,0.0621,0.0733,
Table any_phb * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_phb * e_any_adhd,Difference,-0.0268,0.0029,-0.0324,-0.0212,1
Table any_phb * e_any_sub,Row 1,0.0832,0.0004,0.0824,0.0839,
Table any_phb * e_any_sub,Row 2,0.1129,0.0036,0.1059,0.1199,
Table any_phb * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_phb * e_any_sub,Difference,-0.0297,0.0036,-0.0367,-0.0227,1
Table any_phb * e_any_dep,Row 1,0.4311,0.0008,0.4296,0.4326,
Table any_phb * e_any_dep,Row 2,0.5955,0.0056,0.5846,0.6064,
