Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_dep * d_any_ptsd,Odds Ratio,1.5751,1.4592,1.7003,1
Table any_dep * d_any_som,Odds Ratio,1.2336,1.0956,1.3889,1
Table any_dep * d_any_psy,Odds Ratio,1.9169,1.7949,2.0472,1
Table any_dep * d_any_oth,Odds Ratio,1.4814,1.4406,1.5233,1
Table any_dep * d_any_slp,Odds Ratio,1.5764,1.5320,1.6221,1
Table any_dep * d_any_sex,Odds Ratio,1.6601,1.5853,1.7384,1
Table any_dep * d_any_sui,Odds Ratio,2.2906,2.1153,2.4805,1
Table any_dep * d_any_per,Odds Ratio,1.8975,1.7563,2.0500,1
Table any_str * d_any_MH,Odds Ratio,2.3907,2.3017,2.4831,1
Table any_str * d_any_adhd,Odds Ratio,1.8937,1.7319,2.0705,1
Table any_str * d_any_sub,Odds Ratio,2.1131,1.9973,2.2356,1
Table any_str * d_any_dep,Odds Ratio,2.1700,2.0909,2.2521,1
Table any_str * d_any_str,Odds Ratio,2.2227,2.1411,2.3073,1
Table any_str * d_any_anx,Odds Ratio,1.7030,1.6202,1.7900,1
Table any_str * d_any_phb,Odds Ratio,1.5018,1.3563,1.6629,1
Table any_str * d_any_ptsd,Odds Ratio,2.0651,1.8582,2.2951,1
Table any_str * d_any_som,Odds Ratio,1.4288,1.2111,1.6855,1
Table any_str * d_any_psy,Odds Ratio,2.3344,2.1297,2.5587,1
Table any_str * d_any_oth,Odds Ratio,1.6481,1.5803,1.7188,1
Table any_str * d_any_slp,Odds Ratio,1.7641,1.6904,1.8410,1
Table any_str * d_any_sex,Odds Ratio,1.8857,1.7628,2.0173,1
Table any_str * d_any_sui,Odds Ratio,3.6610,3.3133,4.0453,1
Table any_str * d_any_per,Odds Ratio,2.1916,1.9600,2.4506,1
Table any_anx * d_any_MH,Odds Ratio,1.7675,1.7204,1.8158,1
Table any_anx * d_any_adhd,Odds Ratio,1.5584,1.4477,1.6775,1
Table any_anx * d_any_sub,Odds Ratio,1.5722,1.5002,1.6476,1
Table any_anx * d_any_dep,Odds Ratio,1.7415,1.6925,1.7919,1
Table any_anx * d_any_str,Odds Ratio,1.4838,1.4401,1.5289,1
Table any_anx * d_any_anx,Odds Ratio,1.7417,1.6784,1.8074,1
Table any_anx * d_any_phb,Odds Ratio,1.6453,1.5294,1.7699,1
Table any_anx * d_any_ptsd,Odds Ratio,1.4234,1.3000,1.5584,1
Table any_anx * d_any_som,Odds Ratio,1.4292,1.2610,1.6197,1
Table any_anx * d_any_psy,Odds Ratio,1.8469,1.7123,1.9922,1
Table any_anx * d_any_oth,Odds Ratio,1.4880,1.4411,1.5364,1
Table any_anx * d_any_slp,Odds Ratio,1.5385,1.4886,1.5901,1
Table any_anx * d_any_sex,Odds Ratio,1.5528,1.4710,1.6392,1
Table any_anx * d_any_sui,Odds Ratio,1.8614,1.6860,2.0549,1
Table any_anx * d_any_per,Odds Ratio,1.7159,1.5636,1.8831,1
Table any_phb * d_any_MH,Odds Ratio,1.6066,1.5340,1.6827,1
Table any_phb * d_any_adhd,Odds Ratio,1.5216,1.3389,1.7291,1
Table any_phb * d_any_sub,Odds Ratio,1.4067,1.2936,1.5297,1
Table any_phb * d_any_dep,Odds Ratio,1.5806,1.5034,1.6618,1
Table any_phb * d_any_str,Odds Ratio,1.3438,1.2748,1.4165,1
Table any_phb * d_any_anx,Odds Ratio,1.6094,1.5078,1.7180,1
Table any_phb * d_any_phb,Odds Ratio,1.7159,1.5197,1.9374,1
Table any_phb * d_any_ptsd,Odds Ratio,1.2621,1.0708,1.4875,1
Table any_phb * d_any_som,Odds Ratio,1.2917,1.0347,1.6126,1
Table any_phb * d_any_psy,Odds Ratio,1.7806,1.5605,2.0318,1
Table any_phb * d_any_oth,Odds Ratio,1.5063,1.4257,1.5914,1
Table any_phb * d_any_slp,Odds Ratio,1.5481,1.4629,1.6382,1
Table any_phb * d_any_sex,Odds Ratio,1.3957,1.2660,1.5387,1
Table any_phb * d_any_sui,Odds Ratio,1.5290,1.2742,1.8348,1
Table any_phb * d_any_per,Odds Ratio,1.5659,1.3271,1.8477,1
Table any_ptsd * d_any_MH,Odds Ratio,3.4458,3.0899,3.8427,1
Table any_ptsd * d_any_adhd,Odds Ratio,3.1533,2.6114,3.8077,1
Table any_ptsd * d_any_sub,Odds Ratio,2.7605,2.4182,3.1514,1
Table any_ptsd * d_any_dep,Odds Ratio,2.9290,2.6654,3.2187,1
Table any_ptsd * d_any_str,Odds Ratio,2.6286,2.3878,2.8937,1
Table any_ptsd * d_any_anx,Odds Ratio,1.9685,1.7393,2.2280,1
Table any_ptsd * d_any_phb,Odds Ratio,1.4878,1.1428,1.9368,1
Table any_ptsd * d_any_ptsd,Odds Ratio,3.6960,3.0033,4.5485,1
Table any_ptsd * d_any_som,Odds Ratio,1.6041,1.0717,2.4010,1
Table any_ptsd * d_any_psy,Odds Ratio,2.6813,2.1482,3.3467,1
Table any_ptsd * d_any_oth,Odds Ratio,2.1692,1.9554,2.4065,1
Table any_ptsd * d_any_slp,Odds Ratio,2.0857,1.8717,2.3241,1
Table any_ptsd * d_any_sex,Odds Ratio,2.1350,1.8124,2.5151,1
Table any_ptsd * d_any_sui,Odds Ratio,5.0885,4.0980,6.3183,1
Table any_ptsd * d_any_per,Odds Ratio,3.2416,2.5278,4.1569,1
Table any_som * d_any_MH,Odds Ratio,1.6026,1.4802,1.7352,1
Table any_som * d_any_adhd,Odds Ratio,1.7096,1.3928,2.0986,1
Table any_som * d_any_sub,Odds Ratio,1.7096,1.4972,1.9522,1
Table any_som * d_any_dep,Odds Ratio,1.5205,1.3947,1.6577,1
Table any_som * d_any_str,Odds Ratio,1.3804,1.2619,1.5100,1
Table any_som * d_any_anx,Odds Ratio,1.3922,1.2379,1.5657,1
Table any_som * d_any_phb,Odds Ratio,1.5272,1.2221,1.9084,1
Table any_som * d_any_ptsd,Odds Ratio,1.4141,1.0823,1.8477,1
Table any_som * d_any_som,Odds Ratio,1.5779,1.1129,2.2371,1
Table any_som * d_any_psy,Odds Ratio,1.8336,1.4689,2.2889,1
Table any_som * d_any_oth,Odds Ratio,1.3873,1.2603,1.5272,1
Table any_som * d_any_slp,Odds Ratio,1.4908,1.3513,1.6446,1
Table any_som * d_any_sex,Odds Ratio,1.5555,1.3271,1.8232,1
Table any_som * d_any_sui,Odds Ratio,1.6863,1.2517,2.2720,1
Table any_som * d_any_per,Odds Ratio,1.6516,1.2577,2.1689,1
Table any_psy * d_any_MH,Odds Ratio,2.5241,2.2471,2.8352,1
Table any_psy * d_any_adhd,Odds Ratio,2.2149,1.7236,2.8462,1
Table any_psy * d_any_sub,Odds Ratio,2.1487,1.8196,2.5374,1
Table any_psy * d_any_dep,Odds Ratio,2.2374,2.0042,2.4977,1
Table any_psy * d_any_str,Odds Ratio,2.0022,1.7888,2.2410,1
Table any_psy * d_any_anx,Odds Ratio,2.0113,1.7456,2.3175,1
Table any_psy * d_any_phb,Odds Ratio,2.0497,1.5789,2.6608,1
Table any_psy * d_any_ptsd,Odds Ratio,2.0112,1.4789,2.7350,1
Table any_psy * d_any_som,Odds Ratio,1.0855,0.6151,1.9156,0
Table any_psy * d_any_psy,Odds Ratio,4.0882,3.3082,5.0521,1
Table any_psy * d_any_oth,Odds Ratio,1.9564,1.7356,2.2052,1
Table any_psy * d_any_slp,Odds Ratio,1.8645,1.6457,2.1123,1
Table any_psy * d_any_sex,Odds Ratio,1.5834,1.2717,1.9714,1
Table any_psy * d_any_sui,Odds Ratio,2.6433,1.8898,3.6973,1
Table any_psy * d_any_per,Odds Ratio,2.4394,1.7813,3.3406,1
Table any_oth * d_any_MH,Odds Ratio,1.8904,1.8450,1.9369,1
Table any_oth * d_any_adhd,Odds Ratio,2.0530,1.9352,2.1780,1
Table any_oth * d_any_sub,Odds Ratio,1.8207,1.7491,1.8953,1
Table any_oth * d_any_dep,Odds Ratio,1.8227,1.7768,1.8698,1
Table any_oth * d_any_str,Odds Ratio,1.5688,1.5275,1.6111,1
Table any_oth * d_any_anx,Odds Ratio,1.5723,1.5188,1.6276,1
Table any_oth * d_any_phb,Odds Ratio,1.6047,1.5010,1.7156,1
Table any_oth * d_any_ptsd,Odds Ratio,1.7786,1.6495,1.9177,1
Table any_oth * d_any_som,Odds Ratio,1.3594,1.2105,1.5266,1
Table any_oth * d_any_psy,Odds Ratio,2.1637,2.0283,2.3082,1
Table any_oth * d_any_oth,Odds Ratio,1.7023,1.6553,1.7507,1
Table any_oth * d_any_slp,Odds Ratio,1.6412,1.5940,1.6897,1
Table any_oth * d_any_sex,Odds Ratio,1.5659,1.4910,1.6445,1
Table any_oth * d_any_sui,Odds Ratio,2.2415,2.0647,2.4334,1
Table any_oth * d_any_per,Odds Ratio,2.0994,1.9431,2.2681,1
Table any_slp * d_any_MH,Odds Ratio,1.7866,1.7494,1.8245,1
Table any_slp * d_any_adhd,Odds Ratio,2.0576,1.9532,2.1674,1
Table any_slp * d_any_sub,Odds Ratio,1.6860,1.6263,1.7479,1
Table any_slp * d_any_dep,Odds Ratio,1.6566,1.6195,1.6946,1
Table any_slp * d_any_str,Odds Ratio,1.5264,1.4910,1.5626,1
Table any_slp * d_any_anx,Odds Ratio,1.4959,1.4508,1.5425,1
Table any_slp * d_any_phb,Odds Ratio,1.4867,1.3997,1.5790,1
Table any_slp * d_any_ptsd,Odds Ratio,1.4644,1.3638,1.5726,1
Table any_slp * d_any_som,Odds Ratio,1.3514,1.2220,1.4946,1
Table any_slp * d_any_psy,Odds Ratio,1.6981,1.5948,1.8081,1
Table any_slp * d_any_oth,Odds Ratio,1.5424,1.5042,1.5816,1
Table any_slp * d_any_slp,Odds Ratio,1.7771,1.7331,1.8223,1
Table any_slp * d_any_sex,Odds Ratio,1.4051,1.3435,1.4695,1
Table any_slp * d_any_sui,Odds Ratio,2.1368,1.9834,2.3022,1
Table any_slp * d_any_per,Odds Ratio,1.6494,1.5320,1.7759,1
Table any_sex * d_any_MH,Odds Ratio,1.4882,1.3141,1.6853,1
Table any_sex * d_any_adhd,Odds Ratio,1.2369,0.8496,1.8008,0
Table any_sex * d_any_sub,Odds Ratio,1.3950,1.1116,1.7506,1
Table any_sex * d_any_dep,Odds Ratio,1.5355,1.3410,1.7582,1
Table any_sex * d_any_str,Odds Ratio,1.2083,1.0438,1.3988,1
Table any_sex * d_any_anx,Odds Ratio,1.3767,1.1424,1.6590,1
Table any_sex * d_any_phb,Odds Ratio,1.4302,1.0003,2.0449,1
Table any_sex * d_any_ptsd,Odds Ratio,1.4697,0.9552,2.2612,0
Table any_sex * d_any_som,Odds Ratio,0.8510,0.4045,1.7906,0
Table any_sex * d_any_psy,Odds Ratio,1.6224,1.1213,2.3475,1
Table any_sex * d_any_oth,Odds Ratio,1.3092,1.1220,1.5275,1
Table any_sex * d_any_slp,Odds Ratio,1.4220,1.2165,1.6621,1
Table any_sex * d_any_sex,Odds Ratio,2.2932,1.8565,2.8328,1
Table any_sex * d_any_sui,Odds Ratio,1.5189,0.9268,2.4891,0
Table any_sex * d_any_per,Odds Ratio,2.0211,1.3689,2.9841,1
Table any_per * d_any_MH,Odds Ratio,2.1473,1.8914,2.4378,1
Table any_per * d_any_adhd,Odds Ratio,2.3871,1.8244,3.1233,1
Table any_per * d_any_sub,Odds Ratio,2.3376,1.9540,2.7965,1
Table any_per * d_any_dep,Odds Ratio,2.0662,1.8236,2.3410,1
Table any_per * d_any_str,Odds Ratio,1.5857,1.3890,1.8102,1
Table any_per * d_any_anx,Odds Ratio,1.7944,1.5239,2.1128,1
Table any_per * d_any_phb,Odds Ratio,1.5205,1.0857,2.1296,1
Table any_per * d_any_ptsd,Odds Ratio,1.3791,0.9124,2.0846,0
Table any_per * d_any_som,Odds Ratio,1.7277,1.0374,2.8774,1
Table any_per * d_any_psy,Odds Ratio,2.6245,1.9599,3.5144,1
Table any_per * d_any_oth,Odds Ratio,1.8050,1.5736,2.0704,1
Table any_per * d_any_slp,Odds Ratio,1.8095,1.5707,2.0847,1
Table any_per * d_any_sex,Odds Ratio,1.8001,1.4353,2.2576,1
Table any_per * d_any_sui,Odds Ratio,3.2770,2.3514,4.5669,1
Table any_per * d_any_per,Odds Ratio,3.0373,2.2233,4.1495,1
Table any_sui * d_any_MH,Odds Ratio,2.5692,2.3604,2.7965,1
Table any_sui * d_any_adhd,Odds Ratio,2.4135,2.0272,2.8733,1
Table any_sui * d_any_sub,Odds Ratio,2.5710,2.2966,2.8782,1
Table any_sui * d_any_dep,Odds Ratio,2.2754,2.1003,2.4651,1
Table any_sui * d_any_str,Odds Ratio,2.2827,2.1058,2.4746,1
Table any_sui * d_any_anx,Odds Ratio,1.7865,1.6053,1.9882,1
Table any_sui * d_any_phb,Odds Ratio,1.3208,1.0401,1.6774,1
Table any_sui * d_any_ptsd,Odds Ratio,1.9258,1.5240,2.4336,1
Table any_sui * d_any_som,Odds Ratio,1.4421,1.0063,2.0666,1
Table any_sui * d_any_psy,Odds Ratio,2.4154,1.9889,2.9334,1
Table any_sui * d_any_oth,Odds Ratio,1.6830,1.5379,1.8418,1
Table any_sui * d_any_slp,Odds Ratio,1.9306,1.7640,2.1130,1
Table any_sui * d_any_sex,Odds Ratio,2.0610,1.7921,2.3703,1
Table any_sui * d_any_sui,Odds Ratio,3.9720,3.2556,4.8460,1
Table any_sui * d_any_per,Odds Ratio,2.2735,1.8044,2.8647,1
Table any_con * d_any_MH,Odds Ratio,1.1922,1.1655,1.2195,1
Table any_con * d_any_adhd,Odds Ratio,1.3745,1.2850,1.4703,1
Table any_con * d_any_sub,Odds Ratio,1.1585,1.1068,1.2126,1
Table any_con * d_any_dep,Odds Ratio,1.1738,1.1428,1.2056,1
Table any_con * d_any_str,Odds Ratio,1.1669,1.1355,1.1991,1
Table any_con * d_any_anx,Odds Ratio,1.1326,1.0915,1.1754,1
Table any_con * d_any_phb,Odds Ratio,1.1184,1.0387,1.2042,1
Table any_con * d_any_ptsd,Odds Ratio,1.0383,0.9475,1.1379,0
Table any_con * d_any_som,Odds Ratio,1.2413,1.1060,1.3933,1
Table any_con * d_any_psy,Odds Ratio,1.2162,1.1235,1.3166,1
Table any_con * d_any_oth,Odds Ratio,1.1734,1.1393,1.2085,1
Table any_con * d_any_slp,Odds Ratio,1.1796,1.1440,1.2164,1
Table any_con * d_any_sex,Odds Ratio,1.0646,1.0083,1.1241,1
Table any_con * d_any_sui,Odds Ratio,1.3329,1.2067,1.4723,1
Table any_con * d_any_per,Odds Ratio,1.1537,1.0485,1.2694,1
Table any_dev * d_any_MH,Odds Ratio,1.4654,1.4219,1.5103,1
Table any_dev * d_any_adhd,Odds Ratio,1.6447,1.5147,1.7859,1
Table any_dev * d_any_sub,Odds Ratio,1.4288,1.3513,1.5107,1
Table any_dev * d_any_dep,Odds Ratio,1.4050,1.3583,1.4533,1
Table any_dev * d_any_str,Odds Ratio,1.3679,1.3214,1.4161,1
Table any_dev * d_any_anx,Odds Ratio,1.2826,1.2237,1.3443,1
Table any_dev * d_any_phb,Odds Ratio,1.3800,1.2623,1.5086,1
Table any_dev * d_any_ptsd,Odds Ratio,1.4569,1.3143,1.6149,1
Table any_dev * d_any_som,Odds Ratio,1.3452,1.1628,1.5563,1
Table any_dev * d_any_psy,Odds Ratio,1.5579,1.4208,1.7083,1
Table any_dev * d_any_oth,Odds Ratio,1.3388,1.2896,1.3899,1
Table any_dev * d_any_slp,Odds Ratio,1.3720,1.3198,1.4263,1
Table any_dev * d_any_sex,Odds Ratio,1.3846,1.2978,1.4772,1
Table any_dev * d_any_sui,Odds Ratio,1.7406,1.5488,1.9561,1
Table any_dev * d_any_per,Odds Ratio,1.6268,1.4598,1.8128,1
Table any_stm * d_any_MH,Odds Ratio,1.3840,1.3282,1.4421,1
Table any_stm * d_any_adhd,Odds Ratio,1.7937,1.6114,1.9967,1
Table any_stm * d_any_sub,Odds Ratio,1.1718,1.0801,1.2712,1
Table any_stm * d_any_dep,Odds Ratio,1.2898,1.2302,1.3524,1
Table any_stm * d_any_str,Odds Ratio,1.2677,1.2079,1.3305,1
Table any_stm * d_any_anx,Odds Ratio,1.3434,1.2616,1.4306,1
Table any_stm * d_any_phb,Odds Ratio,1.3527,1.1948,1.5315,1
Table any_stm * d_any_ptsd,Odds Ratio,1.1683,1.0032,1.3606,1
Table any_stm * d_any_som,Odds Ratio,1.1920,0.9603,1.4797,0
Table any_stm * d_any_psy,Odds Ratio,1.3629,1.1884,1.5630,1
Table any_stm * d_any_oth,Odds Ratio,1.3250,1.2588,1.3946,1
Table any_stm * d_any_slp,Odds Ratio,1.3691,1.2984,1.4437,1
Table any_stm * d_any_sex,Odds Ratio,1.3634,1.2478,1.4896,1
Table any_stm * d_any_sui,Odds Ratio,1.2474,1.0416,1.4939,1
Table any_stm * d_any_per,Odds Ratio,1.4800,1.2686,1.7266,1
