Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_dep * e_any_som,Odds Ratio,1.4553,1.2676,1.6709,1
Table any_dep * e_any_psy,Odds Ratio,1.8073,1.5618,2.0915,1
Table any_dep * e_any_oth,Odds Ratio,1.4713,1.4153,1.5296,1
Table any_dep * e_any_slp,Odds Ratio,1.5471,1.4831,1.6138,1
Table any_dep * e_any_sex,Odds Ratio,1.5948,1.4638,1.7375,1
Table any_dep * e_any_sui,Odds Ratio,2.5603,2.0294,3.2302,1
Table any_dep * e_any_per,Odds Ratio,1.8145,1.5031,2.1906,1
Table any_str * e_any_adhd,Odds Ratio,2.6569,2.3346,3.0236,1
Table any_str * e_any_sub,Odds Ratio,2.5357,2.3080,2.7860,1
Table any_str * e_any_dep,Odds Ratio,2.4601,2.3110,2.6189,1
Table any_str * e_any_anx,Odds Ratio,1.9588,1.8272,2.1000,1
Table any_str * e_any_phb,Odds Ratio,1.8355,1.6218,2.0774,1
Table any_str * e_any_ptsd,Odds Ratio,2.7859,2.4576,3.1580,1
Table any_str * e_any_som,Odds Ratio,1.9612,1.6332,2.3549,1
Table any_str * e_any_psy,Odds Ratio,3.0441,2.6878,3.4477,1
Table any_str * e_any_oth,Odds Ratio,1.6810,1.5770,1.7917,1
Table any_str * e_any_slp,Odds Ratio,1.9448,1.8197,2.0784,1
Table any_str * e_any_sex,Odds Ratio,1.6752,1.4603,1.9217,1
Table any_str * e_any_sui,Odds Ratio,3.5341,2.8952,4.3139,1
Table any_str * e_any_per,Odds Ratio,3.1597,2.7146,3.6778,1
Table any_anx * e_any_adhd,Odds Ratio,1.6690,1.5331,1.8170,1
Table any_anx * e_any_sub,Odds Ratio,1.4317,1.3461,1.5229,1
Table any_anx * e_any_dep,Odds Ratio,1.9847,1.9210,2.0505,1
Table any_anx * e_any_str,Odds Ratio,1.7676,1.7108,1.8262,1
Table any_anx * e_any_phb,Odds Ratio,1.7555,1.6203,1.9020,1
Table any_anx * e_any_ptsd,Odds Ratio,1.7393,1.6047,1.8851,1
Table any_anx * e_any_som,Odds Ratio,1.4376,1.2734,1.6229,1
Table any_anx * e_any_psy,Odds Ratio,1.8667,1.7148,2.0321,1
Table any_anx * e_any_oth,Odds Ratio,1.6111,1.5587,1.6653,1
Table any_anx * e_any_slp,Odds Ratio,1.6207,1.5647,1.6786,1
Table any_anx * e_any_sex,Odds Ratio,1.5222,1.4171,1.6350,1
Table any_anx * e_any_sui,Odds Ratio,1.7357,1.5142,1.9896,1
Table any_anx * e_any_per,Odds Ratio,1.6742,1.4889,1.8826,1
Table any_phb * e_any_adhd,Odds Ratio,1.6724,1.5119,1.8498,1
Table any_phb * e_any_sub,Odds Ratio,1.3846,1.2818,1.4955,1
Table any_phb * e_any_dep,Odds Ratio,1.9054,1.8172,1.9979,1
Table any_phb * e_any_str,Odds Ratio,1.6430,1.5675,1.7222,1
Table any_phb * e_any_anx,Odds Ratio,1.7366,1.6508,1.8269,1
Table any_phb * e_any_ptsd,Odds Ratio,1.4752,1.3353,1.6297,1
Table any_phb * e_any_som,Odds Ratio,1.4706,1.2824,1.6865,1
Table any_phb * e_any_psy,Odds Ratio,1.7995,1.6261,1.9914,1
Table any_phb * e_any_oth,Odds Ratio,1.6512,1.5754,1.7307,1
Table any_phb * e_any_slp,Odds Ratio,1.6441,1.5660,1.7262,1
Table any_phb * e_any_sex,Odds Ratio,1.4135,1.2778,1.5637,1
Table any_phb * e_any_sui,Odds Ratio,1.6627,1.4283,1.9357,1
Table any_phb * e_any_per,Odds Ratio,1.6999,1.4924,1.9362,1
Table any_ptsd * e_any_adhd,Odds Ratio,2.7842,2.3438,3.3075,1
Table any_ptsd * e_any_sub,Odds Ratio,3.3494,2.9578,3.7929,1
Table any_ptsd * e_any_dep,Odds Ratio,3.2424,2.8988,3.6268,1
Table any_ptsd * e_any_str,Odds Ratio,3.3851,3.0272,3.7854,1
Table any_ptsd * e_any_anx,Odds Ratio,2.0415,1.8348,2.2715,1
Table any_ptsd * e_any_phb,Odds Ratio,1.6646,1.3742,2.0163,1
Table any_ptsd * e_any_som,Odds Ratio,1.9107,1.4568,2.5060,1
Table any_ptsd * e_any_psy,Odds Ratio,3.2215,2.7105,3.8288,1
Table any_ptsd * e_any_oth,Odds Ratio,2.1865,1.9726,2.4236,1
Table any_ptsd * e_any_slp,Odds Ratio,2.1755,1.9613,2.4131,1
Table any_ptsd * e_any_sex,Odds Ratio,1.8799,1.5514,2.2779,1
Table any_ptsd * e_any_sui,Odds Ratio,5.1364,4.1917,6.2940,1
Table any_ptsd * e_any_per,Odds Ratio,3.7968,3.0964,4.6556,1
Table any_som * e_any_adhd,Odds Ratio,1.7557,1.5041,2.0493,1
Table any_som * e_any_sub,Odds Ratio,1.6283,1.4483,1.8306,1
Table any_som * e_any_dep,Odds Ratio,1.6336,1.5105,1.7666,1
Table any_som * e_any_str,Odds Ratio,1.6470,1.5230,1.7811,1
Table any_som * e_any_anx,Odds Ratio,1.6086,1.4789,1.7496,1
Table any_som * e_any_phb,Odds Ratio,1.6537,1.4334,1.9078,1
Table any_som * e_any_ptsd,Odds Ratio,1.9688,1.7020,2.2774,1
Table any_som * e_any_psy,Odds Ratio,1.7222,1.4612,2.0297,1
Table any_som * e_any_oth,Odds Ratio,1.5674,1.4496,1.6948,1
Table any_som * e_any_slp,Odds Ratio,1.5128,1.3944,1.6411,1
Table any_som * e_any_sex,Odds Ratio,1.5319,1.3063,1.7965,1
Table any_som * e_any_sui,Odds Ratio,1.6835,1.3269,2.1359,1
Table any_som * e_any_per,Odds Ratio,1.8310,1.5068,2.2249,1
Table any_psy * e_any_adhd,Odds Ratio,2.7594,2.2699,3.3544,1
Table any_psy * e_any_sub,Odds Ratio,2.0720,1.7653,2.4320,1
Table any_psy * e_any_dep,Odds Ratio,2.5053,2.2292,2.8156,1
Table any_psy * e_any_str,Odds Ratio,2.5153,2.2373,2.8277,1
Table any_psy * e_any_anx,Odds Ratio,1.8562,1.6486,2.0900,1
Table any_psy * e_any_phb,Odds Ratio,1.5658,1.2633,1.9408,1
Table any_psy * e_any_ptsd,Odds Ratio,2.3568,1.9385,2.8653,1
Table any_psy * e_any_som,Odds Ratio,1.5376,1.1217,2.1079,1
Table any_psy * e_any_oth,Odds Ratio,1.9622,1.7539,2.1951,1
Table any_psy * e_any_slp,Odds Ratio,1.9402,1.7314,2.1742,1
Table any_psy * e_any_sex,Odds Ratio,1.4836,1.1694,1.8821,1
Table any_psy * e_any_sui,Odds Ratio,2.3631,1.7099,3.2660,1
Table any_psy * e_any_per,Odds Ratio,1.9546,1.4463,2.6415,1
Table any_oth * e_any_adhd,Odds Ratio,2.3889,2.2134,2.5785,1
Table any_oth * e_any_sub,Odds Ratio,1.7296,1.6347,1.8300,1
Table any_oth * e_any_dep,Odds Ratio,2.0415,1.9754,2.1099,1
Table any_oth * e_any_str,Odds Ratio,1.7638,1.7066,1.8229,1
Table any_oth * e_any_anx,Odds Ratio,1.6696,1.6067,1.7349,1
Table any_oth * e_any_phb,Odds Ratio,1.6184,1.5086,1.7362,1
Table any_oth * e_any_ptsd,Odds Ratio,1.9982,1.8526,2.1552,1
Table any_oth * e_any_som,Odds Ratio,1.5006,1.3458,1.6733,1
Table any_oth * e_any_psy,Odds Ratio,2.3442,2.1573,2.5472,1
Table any_oth * e_any_slp,Odds Ratio,1.6551,1.5966,1.7157,1
Table any_oth * e_any_sex,Odds Ratio,1.5173,1.4095,1.6334,1
Table any_oth * e_any_sui,Odds Ratio,2.2879,2.0124,2.6011,1
Table any_oth * e_any_per,Odds Ratio,2.4386,2.2108,2.6899,1
Table any_slp * e_any_adhd,Odds Ratio,2.3578,2.2266,2.4966,1
Table any_slp * e_any_sub,Odds Ratio,1.6664,1.5925,1.7437,1
Table any_slp * e_any_dep,Odds Ratio,1.8740,1.8253,1.9239,1
Table any_slp * e_any_str,Odds Ratio,1.6284,1.5860,1.6718,1
Table any_slp * e_any_anx,Odds Ratio,1.6154,1.5672,1.6650,1
Table any_slp * e_any_phb,Odds Ratio,1.5671,1.4825,1.6564,1
Table any_slp * e_any_ptsd,Odds Ratio,1.8079,1.7033,1.9189,1
Table any_slp * e_any_som,Odds Ratio,1.5557,1.4327,1.6891,1
Table any_slp * e_any_psy,Odds Ratio,1.9138,1.7928,2.0430,1
Table any_slp * e_any_oth,Odds Ratio,1.6254,1.5825,1.6695,1
Table any_slp * e_any_sex,Odds Ratio,1.3317,1.2496,1.4193,1
Table any_slp * e_any_sui,Odds Ratio,2.1501,1.9545,2.3653,1
Table any_slp * e_any_per,Odds Ratio,1.8611,1.7201,2.0136,1
Table any_sex * e_any_adhd,Odds Ratio,2.0271,1.6015,2.5658,1
Table any_sex * e_any_sub,Odds Ratio,1.5519,1.2764,1.8869,1
Table any_sex * e_any_dep,Odds Ratio,1.9420,1.7093,2.2063,1
Table any_sex * e_any_str,Odds Ratio,1.6743,1.4760,1.8993,1
Table any_sex * e_any_anx,Odds Ratio,1.4946,1.3032,1.7143,1
Table any_sex * e_any_phb,Odds Ratio,1.5753,1.2480,1.9884,1
Table any_sex * e_any_ptsd,Odds Ratio,1.7262,1.3490,2.2088,1
Table any_sex * e_any_som,Odds Ratio,1.2092,0.8188,1.7858,0
Table any_sex * e_any_psy,Odds Ratio,2.0570,1.6100,2.6283,1
Table any_sex * e_any_oth,Odds Ratio,1.5390,1.3568,1.7456,1
Table any_sex * e_any_slp,Odds Ratio,1.6005,1.4047,1.8236,1
Table any_sex * e_any_sui,Odds Ratio,2.4960,1.8113,3.4394,1
Table any_sex * e_any_per,Odds Ratio,2.3959,1.8158,3.1612,1
Table any_per * e_any_adhd,Odds Ratio,2.6862,2.1775,3.3138,1
Table any_per * e_any_sub,Odds Ratio,2.3133,1.9643,2.7243,1
Table any_per * e_any_dep,Odds Ratio,2.8539,2.5086,3.2467,1
Table any_per * e_any_str,Odds Ratio,2.1869,1.9320,2.4755,1
Table any_per * e_any_anx,Odds Ratio,1.9163,1.6884,2.1750,1
Table any_per * e_any_phb,Odds Ratio,1.7789,1.4314,2.2108,1
Table any_per * e_any_ptsd,Odds Ratio,1.8875,1.4984,2.3776,1
Table any_per * e_any_som,Odds Ratio,1.7871,1.2927,2.4704,1
Table any_per * e_any_psy,Odds Ratio,3.0798,2.4963,3.7996,1
Table any_per * e_any_oth,Odds Ratio,1.9283,1.7086,2.1763,1
Table any_per * e_any_slp,Odds Ratio,2.0228,1.7898,2.2862,1
Table any_per * e_any_sex,Odds Ratio,1.7573,1.3932,2.2166,1
Table any_per * e_any_sui,Odds Ratio,3.1932,2.3754,4.2926,1
Table any_sui * e_any_adhd,Odds Ratio,2.5159,2.1947,2.8841,1
Table any_sui * e_any_sub,Odds Ratio,2.5690,2.3179,2.8473,1
Table any_sui * e_any_dep,Odds Ratio,2.8699,2.6400,3.1197,1
Table any_sui * e_any_str,Odds Ratio,3.1939,2.9345,3.4762,1
Table any_sui * e_any_anx,Odds Ratio,1.8437,1.6983,2.0016,1
Table any_sui * e_any_phb,Odds Ratio,1.7369,1.5088,1.9996,1
Table any_sui * e_any_ptsd,Odds Ratio,2.3404,2.0430,2.6809,1
Table any_sui * e_any_som,Odds Ratio,1.7268,1.4062,2.1206,1
Table any_sui * e_any_psy,Odds Ratio,2.5617,2.2185,2.9580,1
Table any_sui * e_any_oth,Odds Ratio,2.0000,1.8495,2.1627,1
Table any_sui * e_any_slp,Odds Ratio,2.0577,1.9015,2.2268,1
Table any_sui * e_any_sex,Odds Ratio,1.9448,1.6838,2.2462,1
Table any_sui * e_any_per,Odds Ratio,2.7726,2.3398,3.2855,1
