Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table f_any_adhd * m_any_ptsd,Difference,-0.0204,0.0014,-0.0232,-0.0177,_,_,1
Table f_any_adhd * m_any_som,Row 1,0.0065,0.0001,0.0063,0.0067,0.0063,0.0067,
Table f_any_adhd * m_any_som,Row 2,0.0117,0.0009,0.0100,0.0134,0.0101,0.0136,
Table f_any_adhd * m_any_som,Total,0.0066,0.0001,0.0064,0.0068,0.0064,0.0068,
Table f_any_adhd * m_any_som,Difference,-0.0052,0.0009,-0.0070,-0.0035,_,_,1
Table f_any_adhd * m_any_psy,Row 1,0.0186,0.0001,0.0183,0.0189,0.0183,0.0189,
Table f_any_adhd * m_any_psy,Row 2,0.0590,0.0019,0.0553,0.0627,0.0553,0.0628,
Table f_any_adhd * m_any_psy,Total,0.0194,0.0001,0.0191,0.0197,0.0191,0.0197,
Table f_any_adhd * m_any_psy,Difference,-0.0404,0.0019,-0.0441,-0.0366,_,_,1
Table f_any_adhd * m_any_oth,Row 1,0.1373,0.0004,0.1366,0.1380,0.1366,0.1380,
Table f_any_adhd * m_any_oth,Row 2,0.2581,0.0035,0.2512,0.2650,0.2512,0.2651,
Table f_any_adhd * m_any_oth,Total,0.1395,0.0004,0.1388,0.1402,0.1388,0.1403,
Table f_any_adhd * m_any_oth,Difference,-0.1208,0.0035,-0.1277,-0.1139,_,_,1
Table f_any_adhd * m_any_slp,Row 1,0.1502,0.0004,0.1494,0.1510,0.1494,0.1510,
Table f_any_adhd * m_any_slp,Row 2,0.2547,0.0035,0.2478,0.2615,0.2478,0.2616,
Table f_any_adhd * m_any_slp,Total,0.1521,0.0004,0.1514,0.1529,0.1514,0.1529,
Table f_any_adhd * m_any_slp,Difference,-0.1045,0.0035,-0.1114,-0.0976,_,_,1
Table f_any_adhd * m_any_sex,Row 1,0.0543,0.0002,0.0538,0.0547,0.0538,0.0547,
Table f_any_adhd * m_any_sex,Row 2,0.0828,0.0022,0.0784,0.0871,0.0785,0.0872,
Table f_any_adhd * m_any_sex,Total,0.0548,0.0002,0.0543,0.0553,0.0543,0.0553,
Table f_any_adhd * m_any_sex,Difference,-0.0285,0.0022,-0.0329,-0.0242,_,_,1
Table f_any_adhd * m_any_per,Row 1,0.0109,0.0001,0.0107,0.0111,0.0107,0.0111,
Table f_any_adhd * m_any_per,Row 2,0.0371,0.0015,0.0342,0.0401,0.0342,0.0402,
Table f_any_adhd * m_any_per,Total,0.0114,0.0001,0.0111,0.0116,0.0111,0.0116,
Table f_any_adhd * m_any_per,Difference,-0.0262,0.0015,-0.0292,-0.0233,_,_,1
Table f_any_adhd * m_any_sui,Row 1,0.0098,0.0001,0.0096,0.0100,0.0096,0.0100,
Table f_any_adhd * m_any_sui,Row 2,0.0340,0.0015,0.0311,0.0368,0.0312,0.0369,
Table f_any_adhd * m_any_sui,Total,0.0103,0.0001,0.0100,0.0105,0.0100,0.0105,
Table f_any_adhd * m_any_sui,Difference,-0.0242,0.0015,-0.0270,-0.0213,_,_,1
Table f_any_sub * m_any_adhd,Row 1,0.0152,0.0001,0.0150,0.0155,0.0150,0.0155,
Table f_any_sub * m_any_adhd,Row 2,0.0577,0.0011,0.0555,0.0598,0.0555,0.0599,
Table f_any_sub * m_any_adhd,Total,0.0174,0.0001,0.0171,0.0177,0.0171,0.0177,
Table f_any_sub * m_any_adhd,Difference,-0.0424,0.0011,-0.0446,-0.0402,_,_,1
Table f_any_sub * m_any_sub,Row 1,0.0562,0.0003,0.0557,0.0567,0.0557,0.0567,
Table f_any_sub * m_any_sub,Row 2,0.2506,0.0021,0.2465,0.2546,0.2465,0.2547,
Table f_any_sub * m_any_sub,Total,0.0662,0.0003,0.0657,0.0668,0.0657,0.0668,
Table f_any_sub * m_any_sub,Difference,-0.1944,0.0021,-0.1985,-0.1902,_,_,1
Table f_any_sub * m_any_dep,Row 1,0.1896,0.0004,0.1887,0.1905,0.1887,0.1905,
Table f_any_sub * m_any_dep,Row 2,0.3327,0.0023,0.3283,0.3371,0.3283,0.3372,
Table f_any_sub * m_any_dep,Total,0.1970,0.0004,0.1961,0.1978,0.1961,0.1978,
Table f_any_sub * m_any_dep,Difference,-0.1431,0.0023,-0.1476,-0.1386,_,_,1
Table f_any_sub * m_any_str,Row 1,0.1638,0.0004,0.1629,0.1646,0.1629,0.1646,
Table f_any_sub * m_any_str,Row 2,0.2513,0.0021,0.2473,0.2554,0.2473,0.2554,
Table f_any_sub * m_any_str,Total,0.1683,0.0004,0.1675,0.1691,0.1675,0.1691,
Table f_any_sub * m_any_str,Difference,-0.0876,0.0021,-0.0917,-0.0834,_,_,1
Table f_any_sub * m_any_anx,Row 1,0.0872,0.0003,0.0866,0.0878,0.0866,0.0878,
Table f_any_sub * m_any_anx,Row 2,0.2001,0.0019,0.1963,0.2038,0.1963,0.2039,
Table f_any_sub * m_any_anx,Total,0.0930,0.0003,0.0924,0.0936,0.0924,0.0936,
Table f_any_sub * m_any_anx,Difference,-0.1129,0.0019,-0.1167,-0.1091,_,_,1
Table f_any_sub * m_any_phb,Row 1,0.0199,0.0002,0.0196,0.0202,0.0196,0.0202,
Table f_any_sub * m_any_phb,Row 2,0.0471,0.0010,0.0451,0.0491,0.0452,0.0492,
Table f_any_sub * m_any_phb,Total,0.0213,0.0002,0.0210,0.0216,0.0210,0.0216,
Table f_any_sub * m_any_phb,Difference,-0.0272,0.0010,-0.0292,-0.0252,_,_,1
Table f_any_sub * m_any_ptsd,Row 1,0.0096,0.0001,0.0094,0.0098,0.0094,0.0098,
Table f_any_sub * m_any_ptsd,Row 2,0.0244,0.0007,0.0230,0.0259,0.0230,0.0259,
Table f_any_sub * m_any_ptsd,Total,0.0104,0.0001,0.0101,0.0106,0.0101,0.0106,
Table f_any_sub * m_any_ptsd,Difference,-0.0149,0.0007,-0.0163,-0.0134,_,_,1
Table f_any_sub * m_any_som,Row 1,0.0064,0.0001,0.0063,0.0066,0.0063,0.0066,
Table f_any_sub * m_any_som,Row 2,0.0090,0.0005,0.0081,0.0099,0.0082,0.0100,
Table f_any_sub * m_any_som,Total,0.0066,0.0001,0.0064,0.0068,0.0064,0.0068,
Table f_any_sub * m_any_som,Difference,-0.0026,0.0005,-0.0035,-0.0017,_,_,1
Table f_any_sub * m_any_psy,Row 1,0.0175,0.0001,0.0172,0.0178,0.0172,0.0178,
Table f_any_sub * m_any_psy,Row 2,0.0539,0.0011,0.0518,0.0560,0.0518,0.0561,
Table f_any_sub * m_any_psy,Total,0.0194,0.0001,0.0191,0.0197,0.0191,0.0197,
Table f_any_sub * m_any_psy,Difference,-0.0364,0.0011,-0.0385,-0.0343,_,_,1
Table f_any_sub * m_any_oth,Row 1,0.1354,0.0004,0.1346,0.1361,0.1346,0.1361,
Table f_any_sub * m_any_oth,Row 2,0.2156,0.0020,0.2117,0.2194,0.2117,0.2195,
Table f_any_sub * m_any_oth,Total,0.1395,0.0004,0.1388,0.1402,0.1388,0.1403,
Table f_any_sub * m_any_oth,Difference,-0.0802,0.0020,-0.0841,-0.0763,_,_,1
Table f_any_sub * m_any_slp,Row 1,0.1466,0.0004,0.1458,0.1474,0.1458,0.1474,
Table f_any_sub * m_any_slp,Row 2,0.2539,0.0021,0.2498,0.2580,0.2498,0.2580,
Table f_any_sub * m_any_slp,Total,0.1521,0.0004,0.1514,0.1529,0.1514,0.1529,
Table f_any_sub * m_any_slp,Difference,-0.1073,0.0021,-0.1114,-0.1031,_,_,1
Table f_any_sub * m_any_sex,Row 1,0.0530,0.0003,0.0525,0.0534,0.0525,0.0534,
Table f_any_sub * m_any_sex,Row 2,0.0884,0.0014,0.0857,0.0911,0.0857,0.0911,
Table f_any_sub * m_any_sex,Total,0.0548,0.0002,0.0543,0.0553,0.0543,0.0553,
Table f_any_sub * m_any_sex,Difference,-0.0354,0.0014,-0.0381,-0.0327,_,_,1
Table f_any_sub * m_any_per,Row 1,0.0103,0.0001,0.0101,0.0105,0.0101,0.0105,
Table f_any_sub * m_any_per,Row 2,0.0311,0.0008,0.0295,0.0327,0.0295,0.0328,
Table f_any_sub * m_any_per,Total,0.0114,0.0001,0.0111,0.0116,0.0111,0.0116,
Table f_any_sub * m_any_per,Difference,-0.0208,0.0008,-0.0225,-0.0192,_,_,1
Table f_any_sub * m_any_sui,Row 1,0.0090,0.0001,0.0088,0.0092,0.0088,0.0092,
Table f_any_sub * m_any_sui,Row 2,0.0343,0.0009,0.0326,0.0360,0.0326,0.0361,
Table f_any_sub * m_any_sui,Total,0.0103,0.0001,0.0100,0.0105,0.0100,0.0105,
Table f_any_sub * m_any_sui,Difference,-0.0254,0.0009,-0.0271,-0.0237,_,_,1
Table f_any_dep * m_any_adhd,Row 1,0.0118,0.0001,0.0116,0.0121,0.0116,0.0121,
Table f_any_dep * m_any_adhd,Row 2,0.0285,0.0003,0.0278,0.0291,0.0278,0.0291,
Table f_any_dep * m_any_adhd,Total,0.0174,0.0001,0.0171,0.0177,0.0171,0.0177,
Table f_any_dep * m_any_adhd,Difference,-0.0166,0.0003,-0.0173,-0.0159,_,_,1
Table f_any_dep * m_any_sub,Row 1,0.0509,0.0003,0.0504,0.0515,0.0504,0.0515,
Table f_any_dep * m_any_sub,Row 2,0.0966,0.0006,0.0955,0.0977,0.0955,0.0977,
Table f_any_dep * m_any_sub,Total,0.0662,0.0003,0.0657,0.0668,0.0657,0.0668,
Table f_any_dep * m_any_sub,Difference,-0.0457,0.0006,-0.0469,-0.0444,_,_,1
Table f_any_dep * m_any_dep,Row 1,0.1558,0.0005,0.1549,0.1568,0.1549,0.1568,
Table f_any_dep * m_any_dep,Row 2,0.2786,0.0008,0.2770,0.2803,0.2770,0.2803,
Table f_any_dep * m_any_dep,Total,0.1970,0.0004,0.1961,0.1978,0.1961,0.1978,
Table f_any_dep * m_any_dep,Difference,-0.1228,0.0010,-0.1247,-0.1209,_,_,1
Table f_any_dep * m_any_str,Row 1,0.1414,0.0005,0.1405,0.1423,0.1405,0.1423,
Table f_any_dep * m_any_str,Row 2,0.2216,0.0008,0.2201,0.2232,0.2201,0.2232,
Table f_any_dep * m_any_str,Total,0.1683,0.0004,0.1675,0.1691,0.1675,0.1691,
Table f_any_dep * m_any_str,Difference,-0.0803,0.0009,-0.0820,-0.0785,_,_,1
Table f_any_dep * m_any_anx,Row 1,0.0764,0.0004,0.0757,0.0771,0.0757,0.0771,
Table f_any_dep * m_any_anx,Row 2,0.1259,0.0006,0.1247,0.1271,0.1247,0.1271,
Table f_any_dep * m_any_anx,Total,0.0930,0.0003,0.0924,0.0936,0.0924,0.0936,
Table f_any_dep * m_any_anx,Difference,-0.0494,0.0007,-0.0508,-0.0480,_,_,1
Table f_any_dep * m_any_phb,Row 1,0.0172,0.0002,0.0169,0.0175,0.0169,0.0176,
Table f_any_dep * m_any_phb,Row 2,0.0294,0.0003,0.0288,0.0300,0.0288,0.0300,
Table f_any_dep * m_any_phb,Total,0.0213,0.0002,0.0210,0.0216,0.0210,0.0216,
Table f_any_dep * m_any_phb,Difference,-0.0122,0.0004,-0.0129,-0.0115,_,_,1
Table f_any_dep * m_any_ptsd,Row 1,0.0078,0.0001,0.0075,0.0080,0.0075,0.0080,
Table f_any_dep * m_any_ptsd,Row 2,0.0155,0.0002,0.0150,0.0159,0.0150,0.0160,
Table f_any_dep * m_any_ptsd,Total,0.0104,0.0001,0.0101,0.0106,0.0101,0.0106,
Table f_any_dep * m_any_ptsd,Difference,-0.0077,0.0003,-0.0082,-0.0072,_,_,1
Table f_any_dep * m_any_som,Row 1,0.0058,0.0001,0.0056,0.0060,0.0056,0.0060,
Table f_any_dep * m_any_som,Row 2,0.0081,0.0002,0.0078,0.0084,0.0078,0.0084,
Table f_any_dep * m_any_som,Total,0.0066,0.0001,0.0064,0.0068,0.0064,0.0068,
Table f_any_dep * m_any_som,Difference,-0.0023,0.0002,-0.0026,-0.0019,_,_,1
Table f_any_dep * m_any_psy,Row 1,0.0145,0.0002,0.0142,0.0149,0.0142,0.0149,
Table f_any_dep * m_any_psy,Row 2,0.0289,0.0003,0.0283,0.0295,0.0283,0.0295,
Table f_any_dep * m_any_psy,Total,0.0194,0.0001,0.0191,0.0197,0.0191,0.0197,
Table f_any_dep * m_any_psy,Difference,-0.0144,0.0004,-0.0151,-0.0137,_,_,1
Table f_any_dep * m_any_oth,Row 1,0.1179,0.0004,0.1170,0.1187,0.1170,0.1187,
Table f_any_dep * m_any_oth,Row 2,0.1825,0.0007,0.1811,0.1839,0.1811,0.1839,
Table f_any_dep * m_any_oth,Total,0.1395,0.0004,0.1388,0.1402,0.1388,0.1403,
Table f_any_dep * m_any_oth,Difference,-0.0647,0.0008,-0.0663,-0.0630,_,_,1
Table f_any_dep * m_any_slp,Row 1,0.1308,0.0004,0.1299,0.1317,0.1299,0.1317,
Table f_any_dep * m_any_slp,Row 2,0.1945,0.0007,0.1930,0.1959,0.1930,0.1960,
Table f_any_dep * m_any_slp,Total,0.1521,0.0004,0.1514,0.1529,0.1514,0.1529,
Table f_any_dep * m_any_slp,Difference,-0.0637,0.0009,-0.0654,-0.0620,_,_,1
Table f_any_dep * m_any_sex,Row 1,0.0480,0.0003,0.0475,0.0486,0.0475,0.0486,
Table f_any_dep * m_any_sex,Row 2,0.0682,0.0005,0.0672,0.0691,0.0672,0.0691,
Table f_any_dep * m_any_sex,Total,0.0548,0.0002,0.0543,0.0553,0.0543,0.0553,
Table f_any_dep * m_any_sex,Difference,-0.0201,0.0006,-0.0212,-0.0191,_,_,1
Table f_any_dep * m_any_per,Row 1,0.0079,0.0001,0.0077,0.0081,0.0077,0.0081,
Table f_any_dep * m_any_per,Row 2,0.0182,0.0003,0.0178,0.0187,0.0178,0.0187,
Table f_any_dep * m_any_per,Total,0.0114,0.0001,0.0111,0.0116,0.0111,0.0116,
Table f_any_dep * m_any_per,Difference,-0.0103,0.0003,-0.0109,-0.0098,_,_,1
Table f_any_dep * m_any_sui,Row 1,0.0069,0.0001,0.0067,0.0071,0.0067,0.0071,
Table f_any_dep * m_any_sui,Row 2,0.0169,0.0002,0.0164,0.0174,0.0164,0.0174,
Table f_any_dep * m_any_sui,Total,0.0103,0.0001,0.0100,0.0105,0.0100,0.0105,
Table f_any_dep * m_any_sui,Difference,-0.0100,0.0003,-0.0105,-0.0094,_,_,1
Table f_any_str * m_any_adhd,Row 1,0.0141,0.0002,0.0138,0.0144,0.0138,0.0144,
Table f_any_str * m_any_adhd,Row 2,0.0244,0.0003,0.0238,0.0250,0.0238,0.0250,
Table f_any_str * m_any_adhd,Total,0.0174,0.0001,0.0171,0.0177,0.0171,0.0177,
Table f_any_str * m_any_adhd,Difference,-0.0103,0.0003,-0.0109,-0.0096,_,_,1
Table f_any_str * m_any_sub,Row 1,0.0568,0.0003,0.0562,0.0573,0.0562,0.0574,
Table f_any_str * m_any_sub,Row 2,0.0863,0.0005,0.0852,0.0874,0.0853,0.0874,
Table f_any_str * m_any_sub,Total,0.0662,0.0003,0.0657,0.0668,0.0657,0.0668,
Table f_any_str * m_any_sub,Difference,-0.0296,0.0006,-0.0308,-0.0283,_,_,1
Table f_any_str * m_any_dep,Row 1,0.1717,0.0005,0.1707,0.1727,0.1707,0.1727,
Table f_any_str * m_any_dep,Row 2,0.2505,0.0008,0.2488,0.2521,0.2488,0.2521,
Table f_any_str * m_any_dep,Total,0.1970,0.0004,0.1961,0.1978,0.1961,0.1978,
Table f_any_str * m_any_dep,Difference,-0.0788,0.0010,-0.0807,-0.0769,_,_,1
Table f_any_str * m_any_str,Row 1,0.1325,0.0004,0.1316,0.1334,0.1316,0.1334,
Table f_any_str * m_any_str,Row 2,0.2440,0.0008,0.2424,0.2456,0.2424,0.2456,
Table f_any_str * m_any_str,Total,0.1683,0.0004,0.1675,0.1691,0.1675,0.1691,
Table f_any_str * m_any_str,Difference,-0.1115,0.0009,-0.1133,-0.1097,_,_,1
Table f_any_str * m_any_anx,Row 1,0.0828,0.0004,0.0821,0.0836,0.0821,0.0836,
Table f_any_str * m_any_anx,Row 2,0.1145,0.0006,0.1133,0.1157,0.1133,0.1157,
Table f_any_str * m_any_anx,Total,0.0930,0.0003,0.0924,0.0936,0.0924,0.0936,
Table f_any_str * m_any_anx,Difference,-0.0317,0.0007,-0.0331,-0.0303,_,_,1
Table f_any_str * m_any_phb,Row 1,0.0189,0.0002,0.0186,0.0193,0.0186,0.0193,
Table f_any_str * m_any_phb,Row 2,0.0263,0.0003,0.0257,0.0269,0.0257,0.0269,
Table f_any_str * m_any_phb,Total,0.0213,0.0002,0.0210,0.0216,0.0210,0.0216,
Table f_any_str * m_any_phb,Difference,-0.0073,0.0004,-0.0080,-0.0066,_,_,1
Table f_any_str * m_any_ptsd,Row 1,0.0083,0.0001,0.0081,0.0086,0.0081,0.0086,
Table f_any_str * m_any_ptsd,Row 2,0.0147,0.0002,0.0142,0.0151,0.0142,0.0151,
Table f_any_str * m_any_ptsd,Total,0.0104,0.0001,0.0101,0.0106,0.0101,0.0106,
Table f_any_str * m_any_ptsd,Difference,-0.0064,0.0003,-0.0069,-0.0058,_,_,1
Table f_any_str * m_any_som,Row 1,0.0061,0.0001,0.0059,0.0063,0.0059,0.0063,
Table f_any_str * m_any_som,Row 2,0.0076,0.0002,0.0073,0.0079,0.0073,0.0079,
Table f_any_str * m_any_som,Total,0.0066,0.0001,0.0064,0.0068,0.0064,0.0068,
Table f_any_str * m_any_som,Difference,-0.0015,0.0002,-0.0019,-0.0011,_,_,1
Table f_any_str * m_any_psy,Row 1,0.0162,0.0002,0.0158,0.0165,0.0158,0.0165,
Table f_any_str * m_any_psy,Row 2,0.0261,0.0003,0.0255,0.0267,0.0255,0.0267,
Table f_any_str * m_any_psy,Total,0.0194,0.0001,0.0191,0.0197,0.0191,0.0197,
Table f_any_str * m_any_psy,Difference,-0.0099,0.0003,-0.0106,-0.0093,_,_,1
Table f_any_str * m_any_oth,Row 1,0.1235,0.0004,0.1226,0.1243,0.1226,0.1243,
Table f_any_str * m_any_oth,Row 2,0.1735,0.0007,0.1721,0.1749,0.1721,0.1749,
Table f_any_str * m_any_oth,Total,0.1395,0.0004,0.1388,0.1402,0.1388,0.1403,
Table f_any_str * m_any_oth,Difference,-0.0500,0.0008,-0.0517,-0.0484,_,_,1
Table f_any_str * m_any_slp,Row 1,0.1377,0.0005,0.1368,0.1386,0.1368,0.1386,
Table f_any_str * m_any_slp,Row 2,0.1827,0.0007,0.1812,0.1841,0.1812,0.1841,
Table f_any_str * m_any_slp,Total,0.1521,0.0004,0.1514,0.1529,0.1514,0.1529,
Table f_any_str * m_any_slp,Difference,-0.0449,0.0009,-0.0466,-0.0432,_,_,1
Table f_any_str * m_any_sex,Row 1,0.0498,0.0003,0.0493,0.0504,0.0493,0.0504,
Table f_any_str * m_any_sex,Row 2,0.0652,0.0005,0.0643,0.0662,0.0643,0.0662,
Table f_any_str * m_any_sex,Total,0.0548,0.0002,0.0543,0.0553,0.0543,0.0553,
Table f_any_str * m_any_sex,Difference,-0.0154,0.0006,-0.0165,-0.0143,_,_,1
Table f_any_str * m_any_per,Row 1,0.0093,0.0001,0.0090,0.0095,0.0090,0.0095,
Table f_any_str * m_any_per,Row 2,0.0158,0.0002,0.0153,0.0163,0.0153,0.0163,
Table f_any_str * m_any_per,Total,0.0114,0.0001,0.0111,0.0116,0.0111,0.0116,
Table f_any_str * m_any_per,Difference,-0.0065,0.0003,-0.0071,-0.0060,_,_,1
Table f_any_str * m_any_sui,Row 1,0.0074,0.0001,0.0072,0.0076,0.0072,0.0076,
Table f_any_str * m_any_sui,Row 2,0.0163,0.0002,0.0158,0.0168,0.0158,0.0168,
Table f_any_str * m_any_sui,Total,0.0103,0.0001,0.0100,0.0105,0.0100,0.0105,
Table f_any_str * m_any_sui,Difference,-0.0089,0.0003,-0.0094,-0.0084,_,_,1
Table f_any_anx * m_any_adhd,Row 1,0.0140,0.0001,0.0137,0.0143,0.0137,0.0143,
Table f_any_anx * m_any_adhd,Row 2,0.0342,0.0005,0.0333,0.0352,0.0333,0.0352,
Table f_any_anx * m_any_adhd,Total,0.0174,0.0001,0.0171,0.0177,0.0171,0.0177,
Table f_any_anx * m_any_adhd,Difference,-0.0202,0.0005,-0.0212,-0.0193,_,_,1
Table f_any_anx * m_any_sub,Row 1,0.0561,0.0003,0.0556,0.0566,0.0556,0.0567,
Table f_any_anx * m_any_sub,Row 2,0.1162,0.0008,0.1145,0.1179,0.1145,0.1179,
Table f_any_anx * m_any_sub,Total,0.0662,0.0003,0.0657,0.0668,0.0657,0.0668,
Table f_any_anx * m_any_sub,Difference,-0.0601,0.0009,-0.0618,-0.0583,_,_,1
Table f_any_anx * m_any_dep,Row 1,0.1795,0.0005,0.1786,0.1804,0.1786,0.1804,
Table f_any_anx * m_any_dep,Row 2,0.2831,0.0012,0.2808,0.2855,0.2808,0.2855,
Table f_any_anx * m_any_dep,Total,0.1970,0.0004,0.1961,0.1978,0.1961,0.1978,
Table f_any_anx * m_any_dep,Difference,-0.1036,0.0013,-0.1061,-0.1011,_,_,1
Table f_any_anx * m_any_str,Row 1,0.1563,0.0004,0.1554,0.1571,0.1554,0.1571,
Table f_any_anx * m_any_str,Row 2,0.2276,0.0011,0.2254,0.2297,0.2254,0.2297,
Table f_any_anx * m_any_str,Total,0.1683,0.0004,0.1675,0.1691,0.1675,0.1691,
Table f_any_anx * m_any_str,Difference,-0.0713,0.0012,-0.0736,-0.0690,_,_,1
Table f_any_anx * m_any_anx,Row 1,0.0813,0.0003,0.0807,0.0820,0.0807,0.0820,
Table f_any_anx * m_any_anx,Row 2,0.1506,0.0009,0.1488,0.1525,0.1488,0.1525,
Table f_any_anx * m_any_anx,Total,0.0930,0.0003,0.0924,0.0936,0.0924,0.0936,
Table f_any_anx * m_any_anx,Difference,-0.0693,0.0010,-0.0713,-0.0673,_,_,1
Table f_any_anx * m_any_phb,Row 1,0.0184,0.0002,0.0180,0.0187,0.0180,0.0187,
Table f_any_anx * m_any_phb,Row 2,0.0358,0.0005,0.0348,0.0368,0.0348,0.0368,
Table f_any_anx * m_any_phb,Total,0.0213,0.0002,0.0210,0.0216,0.0210,0.0216,
Table f_any_anx * m_any_phb,Difference,-0.0174,0.0005,-0.0184,-0.0164,_,_,1
Table f_any_anx * m_any_ptsd,Row 1,0.0089,0.0001,0.0087,0.0092,0.0087,0.0092,
Table f_any_anx * m_any_ptsd,Row 2,0.0174,0.0003,0.0167,0.0181,0.0167,0.0181,
Table f_any_anx * m_any_ptsd,Total,0.0104,0.0001,0.0101,0.0106,0.0101,0.0106,
Table f_any_anx * m_any_ptsd,Difference,-0.0084,0.0004,-0.0092,-0.0077,_,_,1
Table f_any_anx * m_any_som,Row 1,0.0062,0.0001,0.0060,0.0063,0.0060,0.0064,
Table f_any_anx * m_any_som,Row 2,0.0086,0.0002,0.0081,0.0091,0.0082,0.0091,
Table f_any_anx * m_any_som,Total,0.0066,0.0001,0.0064,0.0068,0.0064,0.0068,
Table f_any_anx * m_any_som,Difference,-0.0025,0.0003,-0.0030,-0.0019,_,_,1
Table f_any_anx * m_any_psy,Row 1,0.0165,0.0002,0.0162,0.0168,0.0162,0.0168,
Table f_any_anx * m_any_psy,Row 2,0.0332,0.0005,0.0323,0.0342,0.0323,0.0342,
Table f_any_anx * m_any_psy,Total,0.0194,0.0001,0.0191,0.0197,0.0191,0.0197,
Table f_any_anx * m_any_psy,Difference,-0.0167,0.0005,-0.0177,-0.0157,_,_,1
Table f_any_anx * m_any_oth,Row 1,0.1287,0.0004,0.1279,0.1295,0.1279,0.1295,
Table f_any_anx * m_any_oth,Row 2,0.1929,0.0010,0.1909,0.1950,0.1909,0.1950,
Table f_any_anx * m_any_oth,Total,0.1395,0.0004,0.1388,0.1402,0.1388,0.1403,
Table f_any_anx * m_any_oth,Difference,-0.0642,0.0011,-0.0664,-0.0620,_,_,1
Table f_any_anx * m_any_slp,Row 1,0.1412,0.0004,0.1403,0.1420,0.1403,0.1420,
Table f_any_anx * m_any_slp,Row 2,0.2063,0.0011,0.2042,0.2084,0.2042,0.2084,
Table f_any_anx * m_any_slp,Total,0.1521,0.0004,0.1514,0.1529,0.1514,0.1529,
Table f_any_anx * m_any_slp,Difference,-0.0652,0.0012,-0.0674,-0.0629,_,_,1
Table f_any_anx * m_any_sex,Row 1,0.0518,0.0003,0.0513,0.0524,0.0513,0.0524,
Table f_any_anx * m_any_sex,Row 2,0.0693,0.0007,0.0680,0.0706,0.0680,0.0706,
Table f_any_anx * m_any_sex,Total,0.0548,0.0002,0.0543,0.0553,0.0543,0.0553,
Table f_any_anx * m_any_sex,Difference,-0.0174,0.0007,-0.0189,-0.0160,_,_,1
Table f_any_anx * m_any_per,Row 1,0.0093,0.0001,0.0091,0.0095,0.0091,0.0095,
