Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_adhd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.2522,1.0659,1.4711,1
Table m_any_adhd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0598,0.9329,1.2039,0
Table m_any_adhd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.1031,1.0545,1.1539,1
Table m_any_adhd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9088,0.8636,0.9563,-1
Table m_any_adhd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.0231,0.7041,1.4864,0
Table m_any_adhd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.2925,1.1040,1.5132,1
Table m_any_adhd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.0304,0.8289,1.2809,0
Table m_any_dep * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0165,1.0038,1.0294,1
Table m_any_dep * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9836,0.9562,1.0118,0
Table m_any_dep * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.0302,0.9820,1.0807,0
Table m_any_dep * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0073,0.9945,1.0203,0
Table m_any_dep * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0272,1.0141,1.0405,1
Table m_any_dep * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0100,0.9937,1.0266,0
Table m_any_dep * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0259,0.9918,1.0612,0
Table m_any_dep * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,0.9920,0.9549,1.0305,0
Table m_any_dep * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.0353,0.9817,1.0919,0
Table m_any_dep * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0317,0.9923,1.0727,0
Table m_any_dep * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0147,1.0008,1.0288,1
Table m_any_dep * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9926,0.9779,1.0075,0
Table m_any_dep * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,0.9482,0.8449,1.0641,0
Table m_any_dep * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.0141,0.9616,1.0695,0
Table m_any_dep * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.0192,0.9542,1.0886,0
Table m_any_str * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0209,1.0074,1.0346,1
Table m_any_str * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9755,0.9467,1.0051,0
Table m_any_str * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.1105,1.0571,1.1666,1
Table m_any_str * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0226,1.0089,1.0365,1
Table m_any_str * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0354,1.0215,1.0496,1
Table m_any_str * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0206,1.0033,1.0383,1
Table m_any_str * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0442,1.0078,1.0819,1
Table m_any_str * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0498,1.0091,1.0921,1
Table m_any_str * f_any_som,Case-Control (Odds Ratio),Odds Ratio,0.9769,0.9226,1.0344,0
Table m_any_str * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0171,0.9760,1.0600,0
Table m_any_str * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0421,1.0271,1.0574,1
Table m_any_str * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9664,0.9512,0.9818,-1
Table m_any_str * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.0040,0.8909,1.1315,0
Table m_any_str * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.0828,1.0249,1.1439,1
Table m_any_str * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9888,0.9218,1.0607,0
Table m_any_anx * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0156,0.9979,1.0337,0
Table m_any_anx * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9656,0.9279,1.0049,0
Table m_any_anx * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.0861,1.0174,1.1594,1
Table m_any_anx * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0182,1.0002,1.0366,1
Table m_any_anx * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0247,1.0065,1.0433,1
Table m_any_anx * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0172,0.9944,1.0406,0
Table m_any_anx * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0401,0.9925,1.0901,0
Table m_any_anx * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0353,0.9824,1.0910,0
Table m_any_anx * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.0373,0.9633,1.1170,0
Table m_any_anx * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0476,0.9926,1.1057,0
Table m_any_anx * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0234,1.0039,1.0433,1
Table m_any_anx * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9687,0.9486,0.9892,-1
Table m_any_anx * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,0.9964,0.8501,1.1677,0
Table m_any_anx * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.0694,0.9945,1.1500,0
Table m_any_anx * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.0758,0.9833,1.1770,0
Table m_any_phb * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0376,1.0002,1.0764,1
Table m_any_phb * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9855,0.9077,1.0699,0
Table m_any_phb * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.2404,1.0926,1.4081,1
Table m_any_phb * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0216,0.9844,1.0602,0
Table m_any_phb * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0448,1.0067,1.0844,1
Table m_any_phb * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0419,0.9943,1.0917,0
Table m_any_phb * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.1967,1.0923,1.3111,1
Table m_any_phb * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0643,0.9561,1.1849,0
Table m_any_phb * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.0080,0.8629,1.1775,0
Table m_any_phb * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0754,0.9630,1.2009,0
Table m_any_phb * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0320,0.9917,1.0739,0
Table m_any_phb * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9583,0.9173,1.0011,0
Table m_any_phb * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,0.8531,0.5980,1.2169,0
Table m_any_phb * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.0874,0.9368,1.2621,0
Table m_any_phb * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.0612,0.8802,1.2795,0
Table m_any_ptsd * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0257,0.9745,1.0795,0
Table m_any_ptsd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.0247,0.9154,1.1469,0
Table m_any_ptsd * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.0698,0.8852,1.2929,0
Table m_any_ptsd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0083,0.9573,1.0619,0
Table m_any_ptsd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0633,1.0098,1.1197,1
Table m_any_ptsd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0245,0.9595,1.0939,0
Table m_any_ptsd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,0.9484,0.8234,1.0924,0
Table m_any_ptsd * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0753,0.9266,1.2479,0
Table m_any_ptsd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,0.8790,0.6973,1.1081,0
Table m_any_ptsd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0617,0.9094,1.2395,0
Table m_any_ptsd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0565,0.9997,1.1165,0
Table m_any_ptsd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.0024,0.9438,1.0646,0
Table m_any_ptsd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,0.9211,0.5711,1.4857,0
Table m_any_ptsd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.9512,0.7623,1.1871,0
Table m_any_ptsd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.8079,0.5999,1.0879,0
Table m_any_som * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,0.9729,0.9143,1.0353,0
Table m_any_som * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9968,0.8669,1.1462,0
Table m_any_som * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,0.9479,0.7414,1.2118,0
Table m_any_som * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,0.9989,0.9374,1.0645,0
Table m_any_som * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0388,0.9749,1.1069,0
Table m_any_som * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0993,1.0164,1.1890,1
Table m_any_som * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0153,0.8585,1.2007,0
Table m_any_som * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0128,0.8397,1.2216,0
Table m_any_som * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.0726,0.8288,1.3879,0
Table m_any_som * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.1072,0.9194,1.3334,0
Table m_any_som * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,0.9998,0.9335,1.0708,0
Table m_any_som * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9318,0.8642,1.0047,0
Table m_any_som * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,0.5686,0.2706,1.1951,0
Table m_any_som * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.9477,0.7222,1.2435,0
Table m_any_som * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9972,0.7176,1.3857,0
Table m_any_psy * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,0.9876,0.9501,1.0266,0
Table m_any_psy * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.0022,0.9190,1.0930,0
Table m_any_psy * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.0643,0.9210,1.2299,0
Table m_any_psy * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0016,0.9628,1.0420,0
Table m_any_psy * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0220,0.9823,1.0633,0
Table m_any_psy * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0019,0.9527,1.0535,0
Table m_any_psy * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0072,0.9071,1.1184,0
Table m_any_psy * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,0.9803,0.8710,1.1035,0
Table m_any_psy * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.0656,0.9072,1.2516,0
Table m_any_psy * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0417,0.9249,1.1734,0
Table m_any_psy * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0012,0.9594,1.0448,0
Table m_any_psy * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9594,0.9159,1.0050,0
Table m_any_psy * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.0949,0.7834,1.5303,0
Table m_any_psy * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.9583,0.8102,1.1336,0
Table m_any_psy * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9536,0.7737,1.1753,0
Table m_any_oth * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0210,1.0064,1.0359,1
Table m_any_oth * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9814,0.9501,1.0138,0
Table m_any_oth * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.1056,1.0481,1.1663,1
Table m_any_oth * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0246,1.0097,1.0397,1
Table m_any_oth * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0315,1.0164,1.0468,1
Table m_any_oth * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0128,0.9941,1.0318,0
Table m_any_oth * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0696,1.0296,1.1112,1
Table m_any_oth * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0230,0.9797,1.0682,0
Table m_any_oth * f_any_som,Case-Control (Odds Ratio),Odds Ratio,0.9982,0.9386,1.0617,0
Table m_any_oth * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0205,0.9758,1.0672,0
Table m_any_oth * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0477,1.0314,1.0643,1
Table m_any_oth * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9744,0.9578,0.9912,-1
Table m_any_oth * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,0.9300,0.8138,1.0628,0
Table m_any_oth * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.0405,0.9796,1.1052,0
Table m_any_oth * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,1.0173,0.9434,1.0971,0
Table m_any_slp * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0046,0.9908,1.0186,0
Table m_any_slp * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9895,0.9592,1.0207,0
Table m_any_slp * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,0.9646,0.9141,1.0180,0
Table m_any_slp * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0001,0.9861,1.0143,0
Table m_any_slp * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0061,0.9919,1.0204,0
Table m_any_slp * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,0.9879,0.9702,1.0058,0
Table m_any_slp * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,0.9761,0.9399,1.0137,0
Table m_any_slp * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,0.9874,0.9467,1.0297,0
Table m_any_slp * f_any_som,Case-Control (Odds Ratio),Odds Ratio,0.9798,0.9231,1.0399,0
Table m_any_slp * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,0.9751,0.9335,1.0186,0
Table m_any_slp * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,0.9886,0.9736,1.0038,0
Table m_any_slp * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.0068,0.9905,1.0234,0
Table m_any_slp * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.0004,0.8831,1.1333,0
Table m_any_slp * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.9168,0.8629,0.9740,-1
Table m_any_slp * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9814,0.9120,1.0562,0
Table m_any_sex * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,0.9573,0.9368,0.9781,-1
Table m_any_sex * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9798,0.9330,1.0289,0
Table m_any_sex * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,0.8002,0.7301,0.8772,-1
Table m_any_sex * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,0.9575,0.9365,0.9791,-1
Table m_any_sex * f_any_str,Case-Control (Odds Ratio),Odds Ratio,0.9603,0.9390,0.9820,-1
Table m_any_sex * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,0.9550,0.9282,0.9827,-1
Table m_any_sex * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,0.9249,0.8704,0.9827,-1
Table m_any_sex * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,0.9001,0.8405,0.9640,-1
Table m_any_sex * f_any_som,Case-Control (Odds Ratio),Odds Ratio,0.9672,0.8804,1.0626,0
Table m_any_sex * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,0.9233,0.8608,0.9904,-1
Table m_any_sex * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,0.9439,0.9214,0.9670,-1
Table m_any_sex * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9961,0.9708,1.0220,0
Table m_any_sex * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,0.9448,0.7732,1.1546,0
Table m_any_sex * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.9068,0.8237,0.9982,-1
Table m_any_sex * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9266,0.8233,1.0427,0
Table m_any_per * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0131,0.9620,1.0669,0
Table m_any_per * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.8925,0.7903,1.0078,0
Table m_any_per * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.1315,0.9386,1.3642,0
Table m_any_per * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0173,0.9653,1.0721,0
Table m_any_per * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0341,0.9811,1.0900,0
Table m_any_per * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0239,0.9581,1.0943,0
Table m_any_per * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0169,0.8851,1.1683,0
Table m_any_per * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.1578,1.0007,1.3396,1
Table m_any_per * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.1455,0.9314,1.4088,0
Table m_any_per * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0721,0.9170,1.2534,0
Table m_any_per * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.1019,1.0424,1.1647,1
Table m_any_per * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9444,0.8875,1.0050,0
Table m_any_per * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4005,0.9432,2.0794,0
Table m_any_per * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.1667,0.9517,1.4303,0
Table m_any_per * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9268,0.6989,1.2291,0
Table m_any_sui * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,0.9826,0.9314,1.0366,0
Table m_any_sui * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.0192,0.9049,1.1479,0
Table m_any_sui * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.0456,0.8547,1.2790,0
Table m_any_sui * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,0.9391,0.8886,0.9924,-1
Table m_any_sui * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0287,0.9739,1.0865,0
Table m_any_sui * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0261,0.9577,1.0993,0
Table m_any_sui * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,0.9247,0.7955,1.0750,0
Table m_any_sui * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,0.9499,0.8046,1.1215,0
Table m_any_sui * f_any_som,Case-Control (Odds Ratio),Odds Ratio,0.7864,0.6080,1.0172,0
Table m_any_sui * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,0.8814,0.7378,1.0530,0
Table m_any_sui * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0762,1.0157,1.1404,1
Table m_any_sui * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9080,0.8506,0.9693,-1
Table m_any_sui * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.1446,0.7280,1.7997,0
Table m_any_sui * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.7351,0.5646,0.9572,-1
Table m_any_sui * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9596,0.7193,1.2801,0
