Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_psy * m_any_sex,Odds Ratio,1.3017,0.5833,2.9051,0
Table any_psy * m_any_sui,Odds Ratio,2.1141,1.4112,3.1671,1
Table any_psy * m_any_per,Odds Ratio,2.7401,2.0495,3.6634,1
Table any_oth * m_any_MH,Odds Ratio,2.5291,2.4540,2.6065,1
Table any_oth * m_any_adhd,Odds Ratio,2.4590,2.3301,2.5949,1
Table any_oth * m_any_sub,Odds Ratio,1.9598,1.8707,2.0532,1
Table any_oth * m_any_dep,Odds Ratio,2.1009,2.0526,2.1504,1
Table any_oth * m_any_str,Odds Ratio,1.7381,1.6979,1.7792,1
Table any_oth * m_any_anx,Odds Ratio,1.7392,1.6929,1.7868,1
Table any_oth * m_any_phb,Odds Ratio,1.6349,1.5522,1.7221,1
Table any_oth * m_any_ptsd,Odds Ratio,2.1530,2.0506,2.2605,1
Table any_oth * m_any_som,Odds Ratio,1.6722,1.5502,1.8037,1
Table any_oth * m_any_psy,Odds Ratio,2.4147,2.2856,2.5512,1
Table any_oth * m_any_oth,Odds Ratio,1.9874,1.9410,2.0350,1
Table any_oth * m_any_slp,Odds Ratio,1.7261,1.6807,1.7728,1
Table any_oth * m_any_sex,Odds Ratio,1.4671,1.2321,1.7468,1
Table any_oth * m_any_sui,Odds Ratio,2.3272,2.1224,2.5518,1
Table any_oth * m_any_per,Odds Ratio,2.6919,2.5175,2.8785,1
Table any_slp * m_any_MH,Odds Ratio,2.5315,2.4662,2.5985,1
Table any_slp * m_any_adhd,Odds Ratio,2.7107,2.5891,2.8381,1
Table any_slp * m_any_sub,Odds Ratio,1.9984,1.9188,2.0813,1
Table any_slp * m_any_dep,Odds Ratio,2.0437,2.0025,2.0857,1
Table any_slp * m_any_str,Odds Ratio,1.6496,1.6161,1.6837,1
Table any_slp * m_any_anx,Odds Ratio,1.7846,1.7432,1.8270,1
Table any_slp * m_any_phb,Odds Ratio,1.7102,1.6353,1.7885,1
Table any_slp * m_any_ptsd,Odds Ratio,2.0281,1.9415,2.1185,1
Table any_slp * m_any_som,Odds Ratio,1.7284,1.6174,1.8470,1
Table any_slp * m_any_psy,Odds Ratio,2.1481,2.0414,2.2605,1
Table any_slp * m_any_oth,Odds Ratio,1.6939,1.6588,1.7297,1
Table any_slp * m_any_slp,Odds Ratio,2.2968,2.2463,2.3485,1
Table any_slp * m_any_sex,Odds Ratio,1.8524,1.6169,2.1221,1
Table any_slp * m_any_sui,Odds Ratio,2.1289,1.9613,2.3108,1
Table any_slp * m_any_per,Odds Ratio,2.1674,2.0325,2.3113,1
Table any_sex * m_any_MH,Odds Ratio,2.1773,1.8696,2.5355,1
Table any_sex * m_any_adhd,Odds Ratio,2.6163,2.0281,3.3750,1
Table any_sex * m_any_sub,Odds Ratio,2.1209,1.6908,2.6604,1
Table any_sex * m_any_dep,Odds Ratio,1.9207,1.7034,2.1657,1
Table any_sex * m_any_str,Odds Ratio,1.6899,1.4981,1.9062,1
Table any_sex * m_any_anx,Odds Ratio,1.5570,1.3518,1.7934,1
Table any_sex * m_any_phb,Odds Ratio,1.6864,1.3047,2.1797,1
Table any_sex * m_any_ptsd,Odds Ratio,1.8726,1.4515,2.4157,1
Table any_sex * m_any_som,Odds Ratio,1.3093,0.8581,1.9979,0
Table any_sex * m_any_psy,Odds Ratio,2.4301,1.8520,3.1886,1
Table any_sex * m_any_oth,Odds Ratio,1.6283,1.4392,1.8422,1
Table any_sex * m_any_slp,Odds Ratio,1.5805,1.3755,1.8161,1
Table any_sex * m_any_sex,Odds Ratio,2.0347,0.9674,4.2797,0
Table any_sex * m_any_sui,Odds Ratio,3.4520,2.3852,4.9958,1
Table any_sex * m_any_per,Odds Ratio,2.7239,1.9701,3.7662,1
Table any_per * m_any_MH,Odds Ratio,3.4147,2.8684,4.0650,1
Table any_per * m_any_adhd,Odds Ratio,2.6661,2.0795,3.4180,1
Table any_per * m_any_sub,Odds Ratio,2.6274,2.1528,3.2066,1
Table any_per * m_any_dep,Odds Ratio,2.7279,2.4231,3.0711,1
Table any_per * m_any_str,Odds Ratio,2.1184,1.8847,2.3810,1
Table any_per * m_any_anx,Odds Ratio,2.0133,1.7700,2.2901,1
Table any_per * m_any_phb,Odds Ratio,2.0245,1.6083,2.5485,1
Table any_per * m_any_ptsd,Odds Ratio,2.5184,2.0255,3.1311,1
Table any_per * m_any_som,Odds Ratio,1.9281,1.3574,2.7388,1
Table any_per * m_any_psy,Odds Ratio,3.0861,2.4339,3.9131,1
Table any_per * m_any_oth,Odds Ratio,1.8368,1.6317,2.0677,1
Table any_per * m_any_slp,Odds Ratio,1.9219,1.6899,2.1859,1
Table any_per * m_any_sex,Odds Ratio,1.3662,0.5672,3.2911,0
Table any_per * m_any_sui,Odds Ratio,2.7893,1.8768,4.1456,1
Table any_per * m_any_per,Odds Ratio,3.7737,2.8776,4.9488,1
Table any_sui * m_any_MH,Odds Ratio,4.2471,3.7618,4.7950,1
Table any_sui * m_any_adhd,Odds Ratio,2.7838,2.3804,3.2554,1
Table any_sui * m_any_sub,Odds Ratio,2.8989,2.5575,3.2859,1
Table any_sui * m_any_dep,Odds Ratio,2.6582,2.4623,2.8697,1
Table any_sui * m_any_str,Odds Ratio,2.8087,2.6010,3.0330,1
Table any_sui * m_any_anx,Odds Ratio,1.8629,1.7114,2.0278,1
Table any_sui * m_any_phb,Odds Ratio,2.0783,1.7925,2.4096,1
Table any_sui * m_any_ptsd,Odds Ratio,2.5819,2.2431,2.9719,1
Table any_sui * m_any_som,Odds Ratio,1.8232,1.4532,2.2874,1
Table any_sui * m_any_psy,Odds Ratio,2.4803,2.0939,2.9379,1
Table any_sui * m_any_oth,Odds Ratio,1.9171,1.7758,2.0696,1
Table any_sui * m_any_slp,Odds Ratio,2.0417,1.8798,2.2175,1
Table any_sui * m_any_sex,Odds Ratio,1.3704,0.7769,2.4171,0
Table any_sui * m_any_sui,Odds Ratio,4.3772,3.5539,5.3912,1
Table any_sui * m_any_per,Odds Ratio,3.7421,3.1297,4.4745,1
Table any_con * m_any_MH,Odds Ratio,1.3186,1.2862,1.3518,1
Table any_con * m_any_adhd,Odds Ratio,1.5103,1.4185,1.6079,1
Table any_con * m_any_sub,Odds Ratio,1.2121,1.1492,1.2784,1
Table any_con * m_any_dep,Odds Ratio,1.2808,1.2517,1.3106,1
Table any_con * m_any_str,Odds Ratio,1.2155,1.1876,1.2440,1
Table any_con * m_any_anx,Odds Ratio,1.1742,1.1411,1.2083,1
Table any_con * m_any_phb,Odds Ratio,1.2383,1.1708,1.3097,1
Table any_con * m_any_ptsd,Odds Ratio,1.1974,1.1287,1.2702,1
Table any_con * m_any_som,Odds Ratio,1.2002,1.1050,1.3036,1
Table any_con * m_any_psy,Odds Ratio,1.3066,1.2194,1.4002,1
Table any_con * m_any_oth,Odds Ratio,1.1965,1.1679,1.2258,1
Table any_con * m_any_slp,Odds Ratio,1.2718,1.2372,1.3074,1
Table any_con * m_any_sex,Odds Ratio,1.2095,1.0089,1.4499,1
Table any_con * m_any_sui,Odds Ratio,1.3515,1.2083,1.5116,1
Table any_con * m_any_per,Odds Ratio,1.4817,1.3635,1.6102,1
Table any_dev * m_any_MH,Odds Ratio,1.6211,1.5662,1.6778,1
Table any_dev * m_any_adhd,Odds Ratio,2.0062,1.8647,2.1585,1
Table any_dev * m_any_sub,Odds Ratio,1.5813,1.4838,1.6852,1
Table any_dev * m_any_dep,Odds Ratio,1.5726,1.5264,1.6202,1
Table any_dev * m_any_str,Odds Ratio,1.3519,1.3117,1.3933,1
Table any_dev * m_any_anx,Odds Ratio,1.3657,1.3172,1.4159,1
Table any_dev * m_any_phb,Odds Ratio,1.3970,1.3025,1.4984,1
Table any_dev * m_any_ptsd,Odds Ratio,1.6346,1.5273,1.7494,1
Table any_dev * m_any_som,Odds Ratio,1.4855,1.3437,1.6423,1
Table any_dev * m_any_psy,Odds Ratio,1.6725,1.5423,1.8137,1
Table any_dev * m_any_oth,Odds Ratio,1.3871,1.3445,1.4311,1
Table any_dev * m_any_slp,Odds Ratio,1.3870,1.3386,1.4371,1
Table any_dev * m_any_sex,Odds Ratio,1.1538,0.9063,1.4688,0
Table any_dev * m_any_sui,Odds Ratio,1.5872,1.3884,1.8144,1
Table any_dev * m_any_per,Odds Ratio,1.8446,1.6689,2.0387,1
Table any_stm * m_any_MH,Odds Ratio,1.6664,1.5892,1.7475,1
Table any_stm * m_any_adhd,Odds Ratio,2.1762,1.9743,2.3988,1
Table any_stm * m_any_sub,Odds Ratio,1.3873,1.2655,1.5207,1
Table any_stm * m_any_dep,Odds Ratio,1.5182,1.4572,1.5818,1
Table any_stm * m_any_str,Odds Ratio,1.3056,1.2524,1.3611,1
Table any_stm * m_any_anx,Odds Ratio,1.4991,1.4280,1.5737,1
Table any_stm * m_any_phb,Odds Ratio,1.5687,1.4325,1.7178,1
Table any_stm * m_any_ptsd,Odds Ratio,1.4131,1.2809,1.5589,1
Table any_stm * m_any_som,Odds Ratio,1.5943,1.3967,1.8198,1
Table any_stm * m_any_psy,Odds Ratio,1.5148,1.3509,1.6986,1
Table any_stm * m_any_oth,Odds Ratio,1.4294,1.3699,1.4916,1
Table any_stm * m_any_slp,Odds Ratio,1.3942,1.3279,1.4638,1
Table any_stm * m_any_sex,Odds Ratio,1.3696,0.9948,1.8857,0
Table any_stm * m_any_sui,Odds Ratio,1.3602,1.1126,1.6629,1
Table any_stm * m_any_per,Odds Ratio,1.8615,1.6279,2.1287,1
