Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_,Outcome
f_any_phb,1,0.0439,0.0181,5.8732,0.0154,MLE,any_str
f_any_ptsd,1,0.0494,0.0202,6.0002,0.0143,MLE,any_str
f_any_som,1,-0.0232,0.0292,0.6315,0.4268,MLE,any_str
f_any_psy,1,0.0170,0.0211,0.6550,0.4183,MLE,any_str
f_any_oth,1,0.0416,0.00740,31.5885,<.0001,MLE,any_str
f_any_slp,1,-0.0340,0.00807,17.7256,<.0001,MLE,any_str
f_any_sex,1,0.00400,0.0610,0.0043,0.9477,MLE,any_str
f_any_per,1,0.0796,0.0280,8.0604,0.0045,MLE,any_str
f_any_sui,1,-0.0112,0.0358,0.0978,0.7544,MLE,any_str
f_any_adhd,1,0.0826,0.0333,6.1467,0.0132,MLE,any_anx
f_any_sub,1,-0.0345,0.0203,2.8885,0.0892,MLE,any_anx
f_any_MH,1,0.0155,0.00899,2.9567,0.0855,MLE,any_anx
f_any_dep,1,0.0181,0.00912,3.9395,0.0472,MLE,any_anx
f_any_str,1,0.0245,0.00916,7.1501,0.0075,MLE,any_anx
f_any_anx,1,0.0172,0.0116,2.1962,0.1384,MLE,any_anx
f_any_phb,1,0.0399,0.0239,2.7889,0.0949,MLE,any_anx
f_any_ptsd,1,0.0351,0.0267,1.7279,0.1887,MLE,any_anx
f_any_som,1,0.0372,0.0378,0.9700,0.3247,MLE,any_anx
f_any_psy,1,0.0473,0.0275,2.9600,0.0853,MLE,any_anx
f_any_oth,1,0.0233,0.00981,5.6279,0.0177,MLE,any_anx
f_any_slp,1,-0.0315,0.0107,8.6896,0.0032,MLE,any_anx
f_any_sex,1,0,0.0809,0.0000,1.0000,MLE,any_anx
f_any_per,1,0.0671,0.0371,3.2781,0.0702,MLE,any_anx
f_any_sui,1,0.0731,0.0459,2.5378,0.1111,MLE,any_anx
f_any_adhd,1,0.2157,0.0647,11.1058,0.0009,MLE,any_phb
f_any_sub,1,-0.0145,0.0419,0.1203,0.7288,MLE,any_phb
f_any_MH,1,0.0367,0.0187,3.8456,0.0499,MLE,any_phb
f_any_dep,1,0.0214,0.0189,1.2838,0.2572,MLE,any_phb
f_any_str,1,0.0439,0.0190,5.3541,0.0207,MLE,any_phb
f_any_anx,1,0.0410,0.0238,2.9654,0.0851,MLE,any_phb
f_any_phb,1,0.1797,0.0466,14.8916,0.0001,MLE,any_phb
f_any_ptsd,1,0.0624,0.0547,1.2985,0.2545,MLE,any_phb
f_any_som,1,0.00799,0.0793,0.0101,0.9198,MLE,any_phb
f_any_psy,1,0.0727,0.0563,1.6653,0.1969,MLE,any_phb
f_any_oth,1,0.0317,0.0203,2.4349,0.1187,MLE,any_phb
f_any_slp,1,-0.0426,0.0223,3.6536,0.0559,MLE,any_phb
f_any_sex,1,-0.1589,0.1812,0.7683,0.3807,MLE,any_phb
f_any_per,1,0.0838,0.0760,1.2139,0.2706,MLE,any_phb
f_any_sui,1,0.0611,0.0953,0.4112,0.5214,MLE,any_phb
f_any_adhd,1,0.0675,0.0966,0.4881,0.4848,MLE,any_ptsd
f_any_sub,1,0.0246,0.0575,0.1835,0.6683,MLE,any_ptsd
f_any_MH,1,0.0252,0.0261,0.9355,0.3334,MLE,any_ptsd
f_any_dep,1,0.00825,0.0265,0.0972,0.7552,MLE,any_ptsd
f_any_str,1,0.0614,0.0264,5.4261,0.0198,MLE,any_ptsd
f_any_anx,1,0.0244,0.0334,0.5336,0.4651,MLE,any_ptsd
f_any_phb,1,-0.0517,0.0721,0.5144,0.4732,MLE,any_ptsd
f_any_ptsd,1,0.0726,0.0760,0.9133,0.3392,MLE,any_ptsd
f_any_som,1,-0.1289,0.1182,1.1899,0.2753,MLE,any_ptsd
f_any_psy,1,0.0599,0.0790,0.5740,0.4487,MLE,any_ptsd
f_any_oth,1,0.0550,0.0282,3.7990,0.0513,MLE,any_ptsd
f_any_slp,1,0.00236,0.0307,0.0059,0.9389,MLE,any_ptsd
f_any_sex,1,-0.0790,0.2435,0.1051,0.7458,MLE,any_ptsd
f_any_per,1,-0.0488,0.1129,0.1868,0.6656,MLE,any_ptsd
f_any_sui,1,-0.2132,0.1518,1.9712,0.1603,MLE,any_ptsd
f_any_adhd,1,-0.0522,0.1253,0.1736,0.6769,MLE,any_som
f_any_sub,1,-0.00319,0.0713,0.0020,0.9643,MLE,any_som
f_any_MH,1,-0.0275,0.0317,0.7544,0.3851,MLE,any_som
f_any_dep,1,-0.00109,0.0324,0.0011,0.9732,MLE,any_som
f_any_str,1,0.0383,0.0324,1.3988,0.2369,MLE,any_som
f_any_anx,1,0.0947,0.0400,5.6049,0.0179,MLE,any_som
f_any_phb,1,0.0152,0.0856,0.0317,0.8586,MLE,any_som
f_any_ptsd,1,0.0128,0.0956,0.0179,0.8935,MLE,any_som
f_any_som,1,0.0700,0.1315,0.2836,0.5943,MLE,any_som
f_any_psy,1,0.1019,0.0948,1.1545,0.2826,MLE,any_som
f_any_oth,1,0,0.0350,0.0000,1.0000,MLE,any_som
f_any_slp,1,-0.0706,0.0384,3.3760,0.0662,MLE,any_som
f_any_sex,1,-0.5645,0.3789,2.2189,0.1363,MLE,any_som
f_any_per,1,-0.0524,0.1385,0.1429,0.7054,MLE,any_som
f_any_sui,1,-0.00279,0.1679,0.0003,0.9867,MLE,any_som
f_any_adhd,1,0.0623,0.0738,0.7127,0.3986,MLE,any_psy
f_any_sub,1,0.00224,0.0442,0.0026,0.9596,MLE,any_psy
f_any_MH,1,-0.0125,0.0198,0.4013,0.5264,MLE,any_psy
f_any_dep,1,0.00158,0.0202,0.0062,0.9375,MLE,any_psy
f_any_str,1,0.0218,0.0202,1.1634,0.2808,MLE,any_psy
f_any_anx,1,0.00187,0.0256,0.0053,0.9420,MLE,any_psy
f_any_phb,1,0.00723,0.0534,0.0183,0.8924,MLE,any_psy
f_any_ptsd,1,-0.0197,0.0604,0.1062,0.7446,MLE,any_psy
f_any_som,1,0.0654,0.0820,0.6363,0.4251,MLE,any_psy
f_any_psy,1,0.0417,0.0607,0.4713,0.4924,MLE,any_psy
f_any_oth,1,0.00115,0.0217,0.0028,0.9578,MLE,any_psy
f_any_slp,1,-0.0414,0.0237,3.0570,0.0804,MLE,any_psy
f_any_sex,1,0.0947,0.1705,0.3088,0.5784,MLE,any_psy
f_any_per,1,-0.0417,0.0857,0.2369,0.6264,MLE,any_psy
f_any_sui,1,-0.0465,0.1066,0.1903,0.6627,MLE,any_psy
f_any_adhd,1,0.1004,0.0273,13.5557,0.0002,MLE,any_oth
f_any_sub,1,-0.0187,0.0166,1.2717,0.2594,MLE,any_oth
f_any_MH,1,0.0207,0.00737,7.9129,0.0049,MLE,any_oth
f_any_dep,1,0.0243,0.00747,10.6071,0.0011,MLE,any_oth
f_any_str,1,0.0312,0.00751,17.2215,<.0001,MLE,any_oth
f_any_anx,1,0.0127,0.00951,1.7970,0.1801,MLE,any_oth
f_any_phb,1,0.0673,0.0195,11.9472,0.0005,MLE,any_oth
f_any_ptsd,1,0.0229,0.0221,1.0797,0.2988,MLE,any_oth
f_any_som,1,-0.00176,0.0315,0.0031,0.9555,MLE,any_oth
f_any_psy,1,0.0204,0.0228,0.7985,0.3715,MLE,any_oth
f_any_oth,1,0.0466,0.00802,33.8205,<.0001,MLE,any_oth
f_any_slp,1,-0.0258,0.00875,8.6909,0.0032,MLE,any_oth
f_any_sex,1,-0.0707,0.0681,1.0781,0.2991,MLE,any_oth
f_any_per,1,0.0403,0.0308,1.7153,0.1903,MLE,any_oth
f_any_sui,1,0.0173,0.0385,0.2016,0.6534,MLE,any_oth
f_any_adhd,1,-0.0356,0.0274,1.6789,0.1951,MLE,any_slp
f_any_sub,1,-0.0106,0.0158,0.4444,0.5050,MLE,any_slp
f_any_MH,1,0.00460,0.00707,0.4242,0.5148,MLE,any_slp
f_any_dep,1,0,0.00720,0.0000,1.0000,MLE,any_slp
f_any_str,1,0.00605,0.00723,0.7005,0.4026,MLE,any_slp
f_any_anx,1,-0.0122,0.00918,1.7577,0.1849,MLE,any_slp
f_any_phb,1,-0.0240,0.0193,1.5481,0.2134,MLE,any_slp
f_any_ptsd,1,-0.0127,0.0214,0.3487,0.5549,MLE,any_slp
f_any_som,1,-0.0203,0.0304,0.4455,0.5045,MLE,any_slp
f_any_psy,1,-0.0250,0.0223,1.2617,0.2613,MLE,any_slp
f_any_oth,1,-0.0114,0.00778,2.1661,0.1411,MLE,any_slp
f_any_slp,1,0.00678,0.00834,0.6614,0.4161,MLE,any_slp
f_any_sex,1,0,0.0637,0.0000,1.0000,MLE,any_slp
f_any_per,1,-0.0869,0.0309,7.9082,0.0049,MLE,any_slp
f_any_sui,1,-0.0186,0.0374,0.2471,0.6191,MLE,any_slp
f_any_adhd,1,-0.2227,0.0468,22.6079,<.0001,MLE,any_sex
f_any_sub,1,-0.0203,0.0249,0.6592,0.4169,MLE,any_sex
f_any_MH,1,-0.0437,0.0110,15.7438,<.0001,MLE,any_sex
f_any_dep,1,-0.0434,0.0114,14.6037,0.0001,MLE,any_sex
f_any_str,1,-0.0403,0.0114,12.4491,0.0004,MLE,any_sex
f_any_anx,1,-0.0460,0.0145,9.9953,0.0016,MLE,any_sex
f_any_phb,1,-0.0781,0.0310,6.3612,0.0117,MLE,any_sex
f_any_ptsd,1,-0.1052,0.0350,9.0453,0.0026,MLE,any_sex
f_any_som,1,-0.0329,0.0480,0.4696,0.4932,MLE,any_sex
f_any_psy,1,-0.0798,0.0358,4.9704,0.0258,MLE,any_sex
f_any_oth,1,-0.0577,0.0123,21.9367,<.0001,MLE,any_sex
f_any_slp,1,-0.00394,0.0131,0.0905,0.7636,MLE,any_sex
f_any_sex,1,-0.0553,0.1022,0.2930,0.5883,MLE,any_sex
f_any_per,1,-0.0978,0.0490,3.9851,0.0459,MLE,any_sex
f_any_sui,1,-0.0763,0.0603,1.6015,0.2057,MLE,any_sex
f_any_adhd,1,0.1236,0.0954,1.6785,0.1951,MLE,any_per
f_any_sub,1,-0.1138,0.0620,3.3660,0.0666,MLE,any_per
f_any_MH,1,0.0130,0.0264,0.2413,0.6233,MLE,any_per
f_any_dep,1,0.0172,0.0268,0.4123,0.5208,MLE,any_per
f_any_str,1,0.0337,0.0269,1.5792,0.2089,MLE,any_per
f_any_anx,1,0.0238,0.0339,0.4936,0.4823,MLE,any_per
f_any_phb,1,0.0168,0.0708,0.0566,0.8120,MLE,any_per
f_any_ptsd,1,0.1466,0.0744,3.8803,0.0489,MLE,any_per
f_any_som,1,0.1359,0.1056,1.6563,0.1981,MLE,any_per
f_any_psy,1,0.0696,0.0797,0.7620,0.3827,MLE,any_per
f_any_oth,1,0.0970,0.0283,11.7358,0.0006,MLE,any_per
f_any_slp,1,-0.0572,0.0317,3.2545,0.0712,MLE,any_per
f_any_sex,1,0.3387,0.2015,2.8250,0.0928,MLE,any_per
f_any_per,1,0.1543,0.1039,2.2045,0.1376,MLE,any_per
f_any_sui,1,-0.0732,0.1438,0.2594,0.6106,MLE,any_per
f_any_adhd,1,0.0455,0.1028,0.1962,0.6578,MLE,any_sui
f_any_sub,1,0.0192,0.0607,0.1000,0.7518,MLE,any_sui
f_any_MH,1,-0.0176,0.0273,0.4149,0.5195,MLE,any_sui
f_any_dep,1,-0.0629,0.0282,4.9691,0.0258,MLE,any_sui
f_any_str,1,0.0284,0.0279,1.0376,0.3084,MLE,any_sui
f_any_anx,1,0.0260,0.0352,0.5455,0.4601,MLE,any_sui
f_any_phb,1,-0.0782,0.0768,1.0374,0.3084,MLE,any_sui
f_any_ptsd,1,-0.0502,0.0847,0.3512,0.5534,MLE,any_sui
f_any_som,1,-0.2399,0.1313,3.3408,0.0676,MLE,any_sui
f_any_psy,1,-0.1262,0.0907,1.9334,0.1644,MLE,any_sui
f_any_oth,1,0.0735,0.0296,6.1809,0.0129,MLE,any_sui
f_any_slp,1,-0.0965,0.0333,8.3914,0.0038,MLE,any_sui
f_any_sex,1,0.1351,0.2309,0.3426,0.5584,MLE,any_sui
f_any_per,1,-0.3069,0.1346,5.1960,0.0226,MLE,any_sui
f_any_sui,1,-0.0404,0.1470,0.0757,0.7833,MLE,any_sui
