Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table m_any_sub * f_any_sex,Row 1,0.0029,0.0001,0.0028,0.0030,0.0028,0.0030,
Table m_any_sub * f_any_sex,Row 2,0.0042,0.0003,0.0037,0.0048,0.0037,0.0048,
Table m_any_sub * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_sub * f_any_sex,Difference,-0.0013,0.0003,-0.0019,-0.0008,_,_,1
Table m_any_sub * f_any_per,Row 1,0.0123,0.0001,0.0120,0.0125,0.0120,0.0125,
Table m_any_sub * f_any_per,Row 2,0.0420,0.0008,0.0403,0.0437,0.0404,0.0437,
Table m_any_sub * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_sub * f_any_per,Difference,-0.0298,0.0009,-0.0314,-0.0281,_,_,1
Table m_any_sub * f_any_sui,Row 1,0.0079,0.0001,0.0077,0.0081,0.0077,0.0081,
Table m_any_sub * f_any_sui,Row 2,0.0319,0.0007,0.0305,0.0334,0.0305,0.0334,
Table m_any_sub * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_sub * f_any_sui,Difference,-0.0241,0.0008,-0.0255,-0.0226,_,_,1
Table m_any_dep * f_any_adhd,Row 1,0.0143,0.0001,0.0140,0.0146,0.0140,0.0146,
Table m_any_dep * f_any_adhd,Row 2,0.0348,0.0004,0.0340,0.0357,0.0340,0.0357,
Table m_any_dep * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_dep * f_any_adhd,Difference,-0.0205,0.0005,-0.0215,-0.0196,_,_,1
Table m_any_dep * f_any_sub,Row 1,0.0428,0.0002,0.0423,0.0433,0.0423,0.0433,
Table m_any_dep * f_any_sub,Row 2,0.0869,0.0007,0.0856,0.0883,0.0856,0.0883,
Table m_any_dep * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_dep * f_any_sub,Difference,-0.0442,0.0007,-0.0456,-0.0427,_,_,1
Table m_any_dep * f_any_dep,Row 1,0.3009,0.0006,0.2998,0.3019,0.2998,0.3019,
Table m_any_dep * f_any_dep,Row 2,0.4738,0.0012,0.4714,0.4762,0.4714,0.4762,
Table m_any_dep * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_dep * f_any_dep,Difference,-0.1729,0.0013,-0.1755,-0.1703,_,_,1
Table m_any_dep * f_any_str,Row 1,0.2993,0.0006,0.2982,0.3004,0.2982,0.3004,
Table m_any_dep * f_any_str,Row 2,0.4078,0.0012,0.4054,0.4101,0.4054,0.4101,
Table m_any_dep * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_dep * f_any_str,Difference,-0.1085,0.0013,-0.1111,-0.1059,_,_,1
Table m_any_dep * f_any_anx,Row 1,0.1503,0.0004,0.1495,0.1512,0.1495,0.1512,
Table m_any_dep * f_any_anx,Row 2,0.2421,0.0011,0.2400,0.2441,0.2400,0.2441,
Table m_any_dep * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_dep * f_any_anx,Difference,-0.0917,0.0011,-0.0940,-0.0895,_,_,1
Table m_any_dep * f_any_phb,Row 1,0.0300,0.0002,0.0296,0.0304,0.0296,0.0304,
Table m_any_dep * f_any_phb,Row 2,0.0509,0.0005,0.0498,0.0519,0.0498,0.0519,
Table m_any_dep * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_dep * f_any_phb,Difference,-0.0208,0.0006,-0.0220,-0.0197,_,_,1
Table m_any_dep * f_any_ptsd,Row 1,0.0227,0.0002,0.0223,0.0230,0.0223,0.0230,
Table m_any_dep * f_any_ptsd,Row 2,0.0509,0.0005,0.0499,0.0520,0.0499,0.0520,
Table m_any_dep * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_dep * f_any_ptsd,Difference,-0.0283,0.0006,-0.0294,-0.0272,_,_,1
Table m_any_dep * f_any_som,Row 1,0.0121,0.0001,0.0118,0.0123,0.0118,0.0124,
Table m_any_dep * f_any_som,Row 2,0.0184,0.0003,0.0178,0.0191,0.0178,0.0191,
Table m_any_dep * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_dep * f_any_som,Difference,-0.0063,0.0004,-0.0070,-0.0056,_,_,1
Table m_any_dep * f_any_psy,Row 1,0.0206,0.0002,0.0203,0.0209,0.0203,0.0209,
Table m_any_dep * f_any_psy,Row 2,0.0463,0.0005,0.0453,0.0473,0.0453,0.0473,
Table m_any_dep * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_dep * f_any_psy,Difference,-0.0257,0.0005,-0.0268,-0.0246,_,_,1
Table m_any_dep * f_any_oth,Row 1,0.2389,0.0005,0.2378,0.2399,0.2378,0.2399,
Table m_any_dep * f_any_oth,Row 2,0.3264,0.0011,0.3241,0.3286,0.3241,0.3287,
Table m_any_dep * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_dep * f_any_oth,Difference,-0.0875,0.0013,-0.0900,-0.0851,_,_,1
Table m_any_dep * f_any_slp,Row 1,0.1917,0.0005,0.1907,0.1926,0.1907,0.1926,
Table m_any_dep * f_any_slp,Row 2,0.2687,0.0011,0.2666,0.2709,0.2666,0.2709,
Table m_any_dep * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_dep * f_any_slp,Difference,-0.0771,0.0012,-0.0794,-0.0748,_,_,1
Table m_any_dep * f_any_sex,Row 1,0.0027,0.0001,0.0026,0.0028,0.0026,0.0028,
Table m_any_dep * f_any_sex,Row 2,0.0042,0.0002,0.0038,0.0045,0.0038,0.0045,
Table m_any_dep * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_dep * f_any_sex,Difference,-0.0015,0.0002,-0.0018,-0.0011,_,_,1
Table m_any_dep * f_any_per,Row 1,0.0108,0.0001,0.0105,0.0110,0.0105,0.0110,
Table m_any_dep * f_any_per,Row 2,0.0283,0.0004,0.0275,0.0291,0.0275,0.0291,
Table m_any_dep * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_dep * f_any_per,Difference,-0.0175,0.0004,-0.0184,-0.0167,_,_,1
Table m_any_dep * f_any_sui,Row 1,0.0072,0.0001,0.0070,0.0074,0.0070,0.0074,
Table m_any_dep * f_any_sui,Row 2,0.0188,0.0003,0.0182,0.0195,0.0182,0.0195,
Table m_any_dep * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_dep * f_any_sui,Difference,-0.0117,0.0003,-0.0123,-0.0110,_,_,1
Table m_any_str * f_any_adhd,Row 1,0.0159,0.0001,0.0157,0.0162,0.0157,0.0162,
Table m_any_str * f_any_adhd,Row 2,0.0303,0.0005,0.0294,0.0312,0.0294,0.0312,
Table m_any_str * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_str * f_any_adhd,Difference,-0.0144,0.0005,-0.0153,-0.0134,_,_,1
Table m_any_str * f_any_sub,Row 1,0.0463,0.0003,0.0458,0.0468,0.0458,0.0468,
Table m_any_str * f_any_sub,Row 2,0.0769,0.0007,0.0755,0.0783,0.0755,0.0783,
Table m_any_str * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_str * f_any_sub,Difference,-0.0306,0.0007,-0.0320,-0.0291,_,_,1
Table m_any_str * f_any_dep,Row 1,0.3134,0.0006,0.3123,0.3145,0.3123,0.3145,
Table m_any_str * f_any_dep,Row 2,0.4412,0.0013,0.4386,0.4437,0.4386,0.4437,
Table m_any_str * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_str * f_any_dep,Difference,-0.1277,0.0014,-0.1305,-0.1249,_,_,1
Table m_any_str * f_any_str,Row 1,0.2915,0.0005,0.2904,0.2925,0.2904,0.2925,
Table m_any_str * f_any_str,Row 2,0.4650,0.0013,0.4624,0.4676,0.4624,0.4676,
Table m_any_str * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_str * f_any_str,Difference,-0.1736,0.0014,-0.1764,-0.1708,_,_,1
Table m_any_str * f_any_anx,Row 1,0.1564,0.0004,0.1555,0.1572,0.1555,0.1572,
Table m_any_str * f_any_anx,Row 2,0.2277,0.0011,0.2255,0.2299,0.2256,0.2299,
Table m_any_str * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_str * f_any_anx,Difference,-0.0713,0.0012,-0.0737,-0.0690,_,_,1
Table m_any_str * f_any_phb,Row 1,0.0314,0.0002,0.0309,0.0318,0.0310,0.0318,
Table m_any_str * f_any_phb,Row 2,0.0478,0.0006,0.0467,0.0489,0.0467,0.0489,
Table m_any_str * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_str * f_any_phb,Difference,-0.0165,0.0006,-0.0176,-0.0153,_,_,1
Table m_any_str * f_any_ptsd,Row 1,0.0241,0.0002,0.0237,0.0244,0.0237,0.0244,
Table m_any_str * f_any_ptsd,Row 2,0.0488,0.0006,0.0477,0.0499,0.0477,0.0499,
Table m_any_str * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_str * f_any_ptsd,Difference,-0.0247,0.0006,-0.0259,-0.0235,_,_,1
Table m_any_str * f_any_som,Row 1,0.0123,0.0001,0.0121,0.0126,0.0121,0.0126,
Table m_any_str * f_any_som,Row 2,0.0184,0.0004,0.0177,0.0191,0.0177,0.0191,
Table m_any_str * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_str * f_any_som,Difference,-0.0061,0.0004,-0.0068,-0.0053,_,_,1
Table m_any_str * f_any_psy,Row 1,0.0224,0.0002,0.0221,0.0228,0.0221,0.0228,
Table m_any_str * f_any_psy,Row 2,0.0416,0.0005,0.0405,0.0426,0.0405,0.0426,
Table m_any_str * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_str * f_any_psy,Difference,-0.0191,0.0006,-0.0202,-0.0180,_,_,1
Table m_any_str * f_any_oth,Row 1,0.2421,0.0005,0.2411,0.2431,0.2411,0.2431,
Table m_any_str * f_any_oth,Row 2,0.3253,0.0012,0.3229,0.3277,0.3229,0.3278,
Table m_any_str * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_str * f_any_oth,Difference,-0.0832,0.0013,-0.0858,-0.0806,_,_,1
Table m_any_str * f_any_slp,Row 1,0.1965,0.0005,0.1956,0.1974,0.1956,0.1974,
Table m_any_str * f_any_slp,Row 2,0.2579,0.0012,0.2556,0.2602,0.2556,0.2602,
Table m_any_str * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_str * f_any_slp,Difference,-0.0614,0.0013,-0.0638,-0.0589,_,_,1
Table m_any_str * f_any_sex,Row 1,0.0028,0.0001,0.0027,0.0030,0.0027,0.0030,
Table m_any_str * f_any_sex,Row 2,0.0038,0.0002,0.0035,0.0041,0.0035,0.0041,
Table m_any_str * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_str * f_any_sex,Difference,-0.0009,0.0002,-0.0013,-0.0006,_,_,1
Table m_any_str * f_any_per,Row 1,0.0122,0.0001,0.0119,0.0124,0.0119,0.0124,
Table m_any_str * f_any_per,Row 2,0.0243,0.0004,0.0235,0.0251,0.0235,0.0251,
Table m_any_str * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_str * f_any_per,Difference,-0.0121,0.0004,-0.0130,-0.0113,_,_,1
Table m_any_str * f_any_sui,Row 1,0.0077,0.0001,0.0075,0.0079,0.0075,0.0079,
Table m_any_str * f_any_sui,Row 2,0.0181,0.0004,0.0174,0.0188,0.0175,0.0188,
Table m_any_str * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_str * f_any_sui,Difference,-0.0104,0.0004,-0.0111,-0.0097,_,_,1
Table m_any_anx * f_any_adhd,Row 1,0.0161,0.0001,0.0158,0.0164,0.0158,0.0164,
Table m_any_anx * f_any_adhd,Row 2,0.0406,0.0007,0.0393,0.0420,0.0393,0.0420,
Table m_any_anx * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_anx * f_any_adhd,Difference,-0.0246,0.0007,-0.0260,-0.0231,_,_,1
Table m_any_anx * f_any_sub,Row 1,0.0454,0.0002,0.0449,0.0459,0.0449,0.0459,
Table m_any_anx * f_any_sub,Row 2,0.1107,0.0011,0.1085,0.1129,0.1085,0.1130,
Table m_any_anx * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_anx * f_any_sub,Difference,-0.0653,0.0011,-0.0676,-0.0631,_,_,1
Table m_any_anx * f_any_dep,Row 1,0.3228,0.0005,0.3217,0.3238,0.3217,0.3238,
Table m_any_anx * f_any_dep,Row 2,0.4533,0.0018,0.4499,0.4568,0.4498,0.4568,
Table m_any_anx * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_anx * f_any_dep,Difference,-0.1306,0.0019,-0.1342,-0.1269,_,_,1
Table m_any_anx * f_any_str,Row 1,0.3131,0.0005,0.3120,0.3141,0.3120,0.3141,
Table m_any_anx * f_any_str,Row 2,0.3948,0.0017,0.3914,0.3983,0.3914,0.3983,
Table m_any_anx * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_anx * f_any_str,Difference,-0.0818,0.0018,-0.0854,-0.0782,_,_,1
Table m_any_anx * f_any_anx,Row 1,0.1577,0.0004,0.1569,0.1585,0.1569,0.1585,
Table m_any_anx * f_any_anx,Row 2,0.2727,0.0016,0.2696,0.2759,0.2696,0.2759,
Table m_any_anx * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_anx * f_any_anx,Difference,-0.1151,0.0016,-0.1183,-0.1118,_,_,1
Table m_any_anx * f_any_phb,Row 1,0.0317,0.0002,0.0313,0.0321,0.0313,0.0321,
Table m_any_anx * f_any_phb,Row 2,0.0577,0.0008,0.0561,0.0594,0.0561,0.0594,
Table m_any_anx * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_anx * f_any_phb,Difference,-0.0260,0.0009,-0.0277,-0.0244,_,_,1
Table m_any_anx * f_any_ptsd,Row 1,0.0258,0.0002,0.0254,0.0261,0.0254,0.0261,
Table m_any_anx * f_any_ptsd,Row 2,0.0522,0.0008,0.0506,0.0537,0.0506,0.0538,
Table m_any_anx * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_anx * f_any_ptsd,Difference,-0.0264,0.0008,-0.0280,-0.0248,_,_,1
Table m_any_anx * f_any_som,Row 1,0.0127,0.0001,0.0125,0.0130,0.0125,0.0130,
Table m_any_anx * f_any_som,Row 2,0.0191,0.0005,0.0181,0.0200,0.0181,0.0200,
Table m_any_anx * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_anx * f_any_som,Difference,-0.0063,0.0005,-0.0073,-0.0053,_,_,1
Table m_any_anx * f_any_psy,Row 1,0.0229,0.0002,0.0225,0.0232,0.0225,0.0232,
Table m_any_anx * f_any_psy,Row 2,0.0530,0.0008,0.0514,0.0546,0.0514,0.0546,
Table m_any_anx * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_anx * f_any_psy,Difference,-0.0301,0.0008,-0.0317,-0.0285,_,_,1
Table m_any_anx * f_any_oth,Row 1,0.2488,0.0005,0.2478,0.2498,0.2478,0.2498,
Table m_any_anx * f_any_oth,Row 2,0.3272,0.0017,0.3239,0.3304,0.3239,0.3304,
Table m_any_anx * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_anx * f_any_oth,Difference,-0.0783,0.0017,-0.0818,-0.0749,_,_,1
Table m_any_anx * f_any_slp,Row 1,0.2001,0.0005,0.1992,0.2010,0.1992,0.2010,
Table m_any_anx * f_any_slp,Row 2,0.2724,0.0016,0.2693,0.2755,0.2693,0.2755,
Table m_any_anx * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_anx * f_any_slp,Difference,-0.0723,0.0017,-0.0755,-0.0690,_,_,1
Table m_any_anx * f_any_sex,Row 1,0.0028,0.0001,0.0027,0.0030,0.0027,0.0030,
Table m_any_anx * f_any_sex,Row 2,0.0044,0.0002,0.0039,0.0048,0.0039,0.0049,
Table m_any_anx * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_anx * f_any_sex,Difference,-0.0015,0.0002,-0.0020,-0.0010,_,_,1
Table m_any_anx * f_any_per,Row 1,0.0123,0.0001,0.0120,0.0125,0.0120,0.0125,
